dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,56,2,stimulus,2.0,N0,retrieval,2,282,3953.2773217055956
A1,57,2,stimulus,2.0,N0,encoding,0,205,1908.1883551429078
A1,57,2,stimulus,2.0,N0,encoding,1,205,468.3044448405088
A1,57,2,stimulus,2.0,N0,encoding,2,205,567.4771832069227
A1,57,2,stimulus,2.0,N0,maintenance,0,362,206.12281793598996
A1,57,2,stimulus,2.0,N0,maintenance,1,362,9496.083438003569
A1,57,2,stimulus,2.0,N0,maintenance,2,362,7638.14553316645
A1,57,2,stimulus,2.0,N0,retrieval,0,285,241.96308467312238
A1,57,2,stimulus,2.0,N0,retrieval,1,285,2602.5327988258
A1,57,2,stimulus,2.0,N0,retrieval,2,285,3451.4440532408908
A1,64,3,stimulus,2.0,N0,encoding,0,205,1393.9269756201684
A1,64,3,stimulus,2.0,N0,encoding,1,205,2002.972417313672
A1,64,3,stimulus,2.0,N0,encoding,2,205,31583.879702469796
A1,64,3,stimulus,2.0,N0,maintenance,0,362,371.72256096893585
A1,64,3,stimulus,2.0,N0,maintenance,1,362,129853.11990674262
A1,64,3,stimulus,2.0,N0,maintenance,2,362,33206.89749209874
A1,64,3,stimulus,2.0,N0,retrieval,0,222,185.79902112483674
A1,64,3,stimulus,2.0,N0,retrieval,1,222,452593.14219036297
A1,64,3,stimulus,2.0,N0,retrieval,2,222,269735.99793627864
A1,65,3,stimulus,2.0,N0,encoding,0,205,539.7536431699256
A1,65,3,stimulus,2.0,N0,encoding,1,205,329.41459125658156
A1,65,3,stimulus,2.0,N0,encoding,2,205,75.78980027874927
A1,65,3,stimulus,2.0,N0,maintenance,0,363,1083.5667198028436
A1,65,3,stimulus,2.0,N0,maintenance,1,363,7914.504011662105
A1,65,3,stimulus,2.0,N0,maintenance,2,363,7282.5400691203795
A1,65,3,stimulus,2.0,N0,retrieval,0,297,83.70201199019462
A1,65,3,stimulus,2.0,N0,retrieval,1,297,30287.69367869991
A1,65,3,stimulus,2.0,N0,retrieval,2,297,40862.402370089934
A1,66,3,stimulus,2.0,N0,encoding,0,205,678.9924794217292
A1,66,3,stimulus,2.0,N0,encoding,1,205,18563.83704035871
A1,66,3,stimulus,2.0,N0,encoding,2,205,34559.48755610616
A1,66,3,stimulus,2.0,N0,maintenance,0,362,2497.41661100694
A1,66,3,stimulus,2.0,N0,maintenance,1,362,84952.86963768367
A1,66,3,stimulus,2.0,N0,maintenance,2,362,102509.79154551595
A1,66,3,stimulus,2.0,N0,retrieval,0,250,1067.86300840192
A1,66,3,stimulus,2.0,N0,retrieval,1,250,13993.434765244194
A1,66,3,stimulus,2.0,N0,retrieval,2,250,10881.050144099045
A1,67,3,stimulus,2.0,N0,encoding,0,205,62.13258025003915
A1,67,3,stimulus,2.0,N0,encoding,1,205,3635.3829514893914
A1,67,3,stimulus,2.0,N0,encoding,2,205,2553.714273897099
A1,67,3,stimulus,2.0,N0,maintenance,0,363,1204.2411579007253
A1,67,3,stimulus,2.0,N0,maintenance,1,363,55033.72223074026
A1,67,3,stimulus,2.0,N0,maintenance,2,363,38790.83491427828
A1,67,3,stimulus,2.0,N0,retrieval,0,280,1422.2133177506325
A1,67,3,stimulus,2.0,N0,retrieval,1,280,104256.9083074144
A1,67,3,stimulus,2.0,N0,retrieval,2,280,60939.24451415523
A1,68,3,stimulus,2.0,N0,encoding,0,205,1901.214183189729
A1,68,3,stimulus,2.0,N0,encoding,1,205,853.341530510419
A1,68,3,stimulus,2.0,N0,encoding,2,205,789.9343238365615
A1,68,3,stimulus,2.0,N0,maintenance,0,362,6066.051131565129
A1,68,3,stimulus,2.0,N0,maintenance,1,362,3523.0765122374028
A1,68,3,stimulus,2.0,N0,maintenance,2,362,1392.608996801323
A1,68,3,stimulus,2.0,N0,retrieval,0,239,926.2938293947519
A1,68,3,stimulus,2.0,N0,retrieval,1,239,405.9575490231306
A1,68,3,stimulus,2.0,N0,retrieval,2,239,1046.6668151951337
A1,69,3,stimulus,2.0,N0,encoding,0,205,580.900803821549
A1,69,3,stimulus,2.0,N0,encoding,1,205,718.6264790087323
A1,69,3,stimulus,2.0,N0,encoding,2,205,649.6130007660162
A1,69,3,stimulus,2.0,N0,maintenance,0,363,338.3693709243115
A1,69,3,stimulus,2.0,N0,maintenance,1,363,777.3638240653172
A1,69,3,stimulus,2.0,N0,maintenance,2,363,1119.7556603211683
