dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,85,4,-1,M1,retrieval,2,374,804483.3201883665,947292.2944835032,671110.878284523,4.076150316314643
B2,86,4,1,M1,encoding,0,205,21932.201765919006,1329.6982412450081,11936.138777707642,0.27201190249631
B2,86,4,1,M1,encoding,1,205,23737.614723055904,2872.0603277673754,15190.36140547676,0.17488363543358118
B2,86,4,1,M1,encoding,2,205,43385.290278403154,2515.566645924061,13490.729402294692,0.2198242775876423
B2,86,4,1,M1,maintenance,0,363,31808.667758655876,13424.2046201029,60210.70079891553,0.394503767804567
B2,86,4,1,M1,maintenance,1,363,37945.38896213244,20939.438263854383,50729.846038114796,0.2795574722675718
B2,86,4,1,M1,maintenance,2,363,58255.733743398385,23559.144008061478,91501.58173912638,0.2951697338730341
B2,86,4,1,M1,retrieval,0,304,53181.90695753276,20548.258633173416,85385.6324306072,0.6595831938943535
B2,86,4,1,M1,retrieval,1,304,39259.20409676809,28702.586434401615,45673.323262384765,0.28923682588896055
B2,86,4,1,M1,retrieval,2,304,80106.5808919565,34922.94968444403,116465.83302207707,0.40588344947310806
B2,87,4,-1,M1,encoding,0,205,8419.434301555524,27856.042214896657,8759.006272532732,0.10442117789868174
B2,87,4,-1,M1,encoding,1,205,8018.336200590162,14687.554319279623,2761.4720396772673,0.059073997166441995
B2,87,4,-1,M1,encoding,2,205,5394.577493345636,11886.38061547281,2285.6063223547403,0.027333206548938782
B2,87,4,-1,M1,maintenance,0,362,24829.967804936794,39124.78681248931,4745.692379802841,0.30795115117161964
B2,87,4,-1,M1,maintenance,1,362,38273.149984473544,43742.390130801105,17884.038871469984,0.28197220684849694
B2,87,4,-1,M1,maintenance,2,362,4268.721236915446,5342.134639409488,11548.879320081474,0.021628726144424976
B2,87,4,-1,M1,retrieval,0,275,128107.79892805543,78707.3775401624,151166.75872599275,1.588843951143314
B2,87,4,-1,M1,retrieval,1,275,190240.16044184327,173393.4767247783,200542.38922747754,1.4015684074281853
B2,87,4,-1,M1,retrieval,2,275,362543.0513433609,265173.8566965864,415872.2463777967,1.8369305320897151
B2,88,4,1,M1,encoding,0,205,41509.54848957236,107882.29041702441,67051.61816216448,0.5148179547553187
B2,88,4,1,M1,encoding,1,205,114137.72094475136,195925.02433970917,141873.46927774072,0.8408940751546596
B2,88,4,1,M1,encoding,2,205,106534.38213108825,244523.5274686289,182305.7217335995,0.5397876432296229
B2,88,4,1,M1,maintenance,0,363,485942.91291739873,584348.4406591511,393159.3616907937,6.026857570344883
B2,88,4,1,M1,maintenance,1,363,476934.64950006444,556972.3670065724,439467.6096303493,3.5137509114510728
B2,88,4,1,M1,maintenance,2,363,680254.0963908007,856949.223905544,586696.3547371518,3.4467065762512648
B2,88,4,1,M1,retrieval,0,277,615497.9049590918,754872.2012415635,517394.5585881786,7.633650186940101
B2,88,4,1,M1,retrieval,1,277,446570.49022903986,487390.69364163216,427193.29430782766,3.2900471138220984
B2,88,4,1,M1,retrieval,2,277,671528.2905129646,832788.5278087078,574401.5704915236,3.402494725618098
B2,89,4,-1,M1,encoding,0,205,278215.41297919315,200943.27093955936,282302.32525793975,3.450538372570724
B2,89,4,-1,M1,encoding,1,205,286882.95154111326,251469.1317704343,329413.92544035084,2.113570975633685
B2,89,4,-1,M1,encoding,2,205,502207.2231254912,432978.64579808945,537303.7327846868,2.544579955889149
B2,89,4,-1,M1,maintenance,0,362,176057.81337886324,125823.1070039259,227443.29647654077,2.1835391301634886
B2,89,4,-1,M1,maintenance,1,362,103301.48008940266,97327.04910942048,87142.99594081327,0.7610595501896626
B2,89,4,-1,M1,maintenance,2,362,206123.34567795516,156999.93340184347,257707.48756535002,1.0443842893949657
B2,89,4,-1,M1,retrieval,0,302,2628.3168839522646,15032.135476967776,2454.9691500819868,0.032597432925224226
B2,89,4,-1,M1,retrieval,1,302,203726.50794742667,224623.6315603437,184396.80708652642,1.5009272313038726
B2,89,4,-1,M1,retrieval,2,302,37284.36282110746,74309.22836961642,14080.318388058986,0.18891214210788407
B2,90,4,1,M1,encoding,0,205,8695.121142540393,3417.3153806588616,4203.988957006524,0.10784035591417952
B2,90,4,1,M1,encoding,1,205,18388.639226469306,1349.7284160307972,10682.646403068411,0.13547578879010083
B2,90,4,1,M1,encoding,2,205,19181.958635814983,4523.669232116179,4436.924616316776,0.09719101042716974
B2,90,4,1,M1,maintenance,0,363,29814.310725600524,16885.69590609734,61744.71606994738,0.3697689574737013
B2,90,4,1,M1,maintenance,1,363,62305.0750299092,42558.77337419694,81006.37917802627,0.4590241333982621
B2,90,4,1,M1,maintenance,2,363,41330.937017113734,18199.206424559783,73983.56827427367,0.20941529521885174
B2,90,4,1,M1,retrieval,0,300,86738.12735418962,42551.63363425075,126294.97122225711,1.075760805613386
B2,90,4,1,M1,retrieval,1,300,96903.6535754195,79401.90917305322,106475.77782819174,0.7139244368814167
B2,90,4,1,M1,retrieval,2,300,81170.22554856734,35189.213505443025,117037.25180663941,0.41127271658988995
B2,91,4,-1,M1,encoding,0,205,254991.92282555223,178675.7883103247,254761.47225138944,3.1625113971344305
B2,91,4,-1,M1,encoding,1,205,479655.63982514886,430985.34123185364,530846.792259946,3.5337974361580464
B2,91,4,-1,M1,encoding,2,205,417235.592890641,350098.86989020504,443787.0569712449,2.114046309301601
