iteration,model,n,BA,AUC
2067,early_lateral,275,0.5425925925925925,0.5171957671957672
2067,lateral_3windows,275,0.5533068783068783,0.5394708994708994
2068,all_9windows,275,0.4546296296296296,0.42994708994708997
2068,early_lateral,275,0.4726190476190476,0.4410582010582011
2068,lateral_3windows,275,0.5387566137566138,0.5316402116402117
2069,all_9windows,275,0.46865079365079365,0.46936507936507943
2069,early_lateral,275,0.5207671957671958,0.4997354497354497
2069,lateral_3windows,275,0.5095238095238095,0.5068253968253968
2070,all_9windows,275,0.5064814814814815,0.4747619047619048
2070,early_lateral,275,0.5374338624338625,0.541005291005291
2070,lateral_3windows,275,0.5085978835978836,0.493915343915344
2071,all_9windows,275,0.49047619047619045,0.4897354497354498
2071,early_lateral,275,0.5156084656084656,0.5074074074074074
2071,lateral_3windows,275,0.523015873015873,0.5021693121693122
2072,all_9windows,275,0.5437830687830687,0.5326984126984127
2072,early_lateral,275,0.5170634920634921,0.527089947089947
2072,lateral_3windows,275,0.5242063492063492,0.5195238095238095
2073,all_9windows,275,0.539021164021164,0.5323280423280423
2073,early_lateral,275,0.4865079365079365,0.4996296296296297
2073,lateral_3windows,275,0.4939153439153439,0.4961375661375661
2074,all_9windows,275,0.4492063492063492,0.444021164021164
2074,early_lateral,275,0.5134920634920634,0.5357671957671957
2074,lateral_3windows,275,0.48796296296296293,0.5044973544973544
2075,all_9windows,275,0.49616402116402114,0.5017460317460317
2075,early_lateral,275,0.4648148148148148,0.4321164021164022
2075,lateral_3windows,275,0.4718253968253968,0.44052910052910055
2076,all_9windows,275,0.5002645502645503,0.5087830687830688
2076,early_lateral,275,0.43703703703703706,0.41063492063492063
2076,lateral_3windows,275,0.43373015873015874,0.4174603174603175
2077,all_9windows,275,0.5607142857142857,0.5448677248677247
2077,early_lateral,275,0.5138888888888888,0.46052910052910057
2077,lateral_3windows,275,0.513095238095238,0.43492063492063493
2078,all_9windows,275,0.46190476190476193,0.48232804232804233
2078,early_lateral,275,0.5374338624338625,0.5422222222222223
2078,lateral_3windows,275,0.5156084656084656,0.5206878306878306
2079,all_9windows,275,0.521957671957672,0.5103703703703704
2079,early_lateral,275,0.4865079365079365,0.43947089947089946
2079,lateral_3windows,275,0.4802910052910053,0.46746031746031746
2080,all_9windows,275,0.4826719576719577,0.4612169312169312
2080,early_lateral,275,0.4845238095238095,0.4793650793650793
2080,lateral_3windows,275,0.5097883597883598,0.4842857142857143
2081,all_9windows,275,0.4822751322751323,0.46232804232804237
2081,early_lateral,275,0.5228835978835978,0.5376190476190477
2081,lateral_3windows,275,0.5304232804232805,0.5347089947089947
2082,all_9windows,275,0.43994708994709,0.42846560846560844
2082,early_lateral,275,0.4591269841269841,0.4493650793650794
2082,lateral_3windows,275,0.4812169312169312,0.43566137566137575
2083,all_9windows,275,0.4531746031746032,0.4541269841269841
2083,early_lateral,275,0.5374338624338625,0.521005291005291
2083,lateral_3windows,275,0.5337301587301587,0.5014285714285714
2084,all_9windows,275,0.5095238095238095,0.5218518518518519
2084,early_lateral,275,0.5170634920634921,0.5373015873015874
2084,lateral_3windows,275,0.5279100529100529,0.5364021164021164
2085,all_9windows,275,0.5126984126984127,0.5258730158730159
2085,early_lateral,275,0.5316137566137566,0.5472486772486773
2085,lateral_3windows,275,0.5531746031746032,0.5746560846560846
2086,all_9windows,275,0.5445767195767196,0.5576190476190477
2086,early_lateral,275,0.5243386243386243,0.5708994708994709
2086,lateral_3windows,275,0.5568783068783069,0.5925396825396825
2087,all_9windows,275,0.5604497354497354,0.6046560846560847
2087,early_lateral,275,0.591931216931217,0.6497354497354497
2087,lateral_3windows,275,0.5812169312169313,0.6232275132275132
2088,all_9windows,275,0.48505291005291007,0.4999470899470899
2088,early_lateral,275,0.5592592592592592,0.5405291005291005
2088,lateral_3windows,275,0.5630952380952381,0.5443915343915344
2089,all_9windows,275,0.4826719576719577,0.4213227513227514
2089,early_lateral,275,0.5123015873015873,0.4820634920634921
2089,lateral_3windows,275,0.48743386243386244,0.4349206349206349
2090,all_9windows,275,0.5347883597883598,0.527037037037037
2090,early_lateral,275,0.5592592592592592,0.5633862433862434
2090,lateral_3windows,275,0.5337301587301587,0.5413756613756614
2091,all_9windows,275,0.5342592592592592,0.5594179894179894
2091,early_lateral,275,0.5607142857142857,0.5866137566137566
2091,lateral_3windows,275,0.575,0.5831746031746031
2092,all_9windows,275,0.41693121693121693,0.3574074074074074
2092,early_lateral,275,0.43214285714285716,0.39756613756613757
2092,lateral_3windows,275,0.3993386243386243,0.37269841269841275
2093,all_9windows,275,0.4981481481481481,0.5224867724867724
2093,early_lateral,275,0.5388888888888889,0.5455555555555556
2093,lateral_3windows,275,0.5240740740740741,0.5251851851851852
2094,all_9windows,275,0.4935185185185186,0.49904761904761913
2094,early_lateral,275,0.4955026455026455,0.46190476190476193
2094,lateral_3windows,275,0.4666666666666667,0.44015873015873014
2095,all_9windows,275,0.5171957671957672,0.5105820105820106
2095,early_lateral,275,0.5534391534391534,0.5567195767195767
2095,lateral_3windows,275,0.5314814814814814,0.5314285714285715
2096,all_9windows,275,0.5054232804232803,0.4833333333333333
2096,early_lateral,275,0.47883597883597884,0.4733333333333334
2096,lateral_3windows,275,0.49378306878306877,0.4759259259259259
2097,all_9windows,275,0.5099206349206349,0.501005291005291
2097,early_lateral,275,0.5170634920634921,0.5111640211640212
2097,lateral_3windows,275,0.5023809523809524,0.5105820105820106
2098,all_9windows,275,0.46798941798941796,0.4453439153439154
2098,early_lateral,275,0.5447089947089947,0.5221164021164021
2098,lateral_3windows,275,0.5304232804232805,0.5292592592592593
2099,all_9windows,275,0.392989417989418,0.3502116402116402
2099,early_lateral,275,0.4484126984126984,0.4036507936507937
2099,lateral_3windows,275,0.416005291005291,0.37867724867724867
2100,all_9windows,275,0.5177248677248677,0.5345502645502646
2100,early_lateral,275,0.551984126984127,0.5211111111111112
2100,lateral_3windows,275,0.5593915343915343,0.535873015873016
2101,all_9windows,275,0.4648148148148148,0.43539682539682545
2101,early_lateral,275,0.4865079365079365,0.5055026455026456
2101,lateral_3windows,275,0.48677248677248675,0.51
2102,all_9windows,275,0.4974867724867725,0.4766666666666667
2102,early_lateral,275,0.49378306878306877,0.5214285714285714
2102,lateral_3windows,275,0.523015873015873,0.5308994708994709
2103,all_9windows,275,0.5873015873015873,0.6014285714285714
2103,early_lateral,275,0.43716931216931215,0.4501058201058201
2103,lateral_3windows,275,0.5097883597883598,0.5267195767195767
2104,all_9windows,275,0.4650793650793651,0.41587301587301584
2104,early_lateral,275,0.45079365079365075,0.40264550264550264
2104,lateral_3windows,275,0.4481481481481482,0.428994708994709
2105,all_9windows,275,0.5013227513227514,0.5146560846560846
2105,early_lateral,275,0.48068783068783066,0.5182539682539682
2105,lateral_3windows,275,0.48783068783068784,0.5265079365079365
2106,all_9windows,275,0.49312169312169307,0.504021164021164
2106,early_lateral,275,0.4365079365079365,0.4308994708994709
2106,lateral_3windows,275,0.44351851851851853,0.404021164021164
2107,all_9windows,275,0.5079365079365079,0.5151322751322752
2107,early_lateral,275,0.5083333333333333,0.5322751322751323
2107,lateral_3windows,275,0.5341269841269841,0.5417460317460318
2108,all_9windows,275,0.5154761904761904,0.5042328042328043
2108,early_lateral,275,0.5461640211640211,0.5637566137566138
2108,lateral_3windows,275,0.5533068783068783,0.557037037037037
2109,all_9windows,275,0.4888888888888889,0.47185185185185186
2109,early_lateral,275,0.42433862433862435,0.37423280423280425
2109,lateral_3windows,275,0.4481481481481482,0.42439153439153443
2110,all_9windows,275,0.5113756613756614,0.5364021164021164
2110,early_lateral,275,0.4845238095238095,0.47111111111111115
2110,lateral_3windows,275,0.4914021164021164,0.49317460317460315
2111,all_9windows,275,0.5642857142857143,0.5308994708994709
2111,early_lateral,275,0.5156084656084656,0.5151322751322751
2111,lateral_3windows,275,0.48677248677248675,0.5104761904761905
2112,all_9windows,275,0.5406084656084655,0.5641269841269843
2112,early_lateral,275,0.567989417989418,0.5662433862433862
2112,lateral_3windows,275,0.5751322751322752,0.5606878306878307
2113,all_9windows,275,0.5755291005291006,0.5686243386243386
2113,early_lateral,275,0.5228835978835978,0.541058201058201
2113,lateral_3windows,275,0.5158730158730158,0.531957671957672
2114,all_9windows,275,0.5001322751322751,0.4703703703703704
2114,early_lateral,275,0.4916666666666667,0.4962962962962963
2114,lateral_3windows,275,0.5022486772486773,0.49820105820105826
2115,all_9windows,275,0.47685185185185186,0.4525396825396826
2115,early_lateral,275,0.48849206349206353,0.47322751322751333
2115,lateral_3windows,275,0.5231481481481481,0.5033333333333333
2116,all_9windows,275,0.46719576719576716,0.47317460317460314
2116,early_lateral,275,0.49378306878306877,0.4868783068783069
2116,lateral_3windows,275,0.446957671957672,0.4723280423280423
2117,all_9windows,275,0.49457671957671956,0.5006878306878307
2117,early_lateral,275,0.5243386243386243,0.5318518518518519
2117,lateral_3windows,275,0.5240740740740741,0.5332804232804232
2118,all_9windows,275,0.5035714285714286,0.513968253968254
2118,early_lateral,275,0.5138888888888888,0.4726455026455027
2118,lateral_3windows,275,0.5064814814814815,0.4788359788359789
2119,all_9windows,275,0.4892857142857143,0.477936507936508
2119,early_lateral,275,0.5097883597883598,0.4915873015873017
2119,lateral_3windows,275,0.5026455026455027,0.46550264550264553
2120,all_9windows,275,0.5078042328042328,0.5326984126984128
2120,early_lateral,275,0.49523809523809526,0.5307936507936507
2120,lateral_3windows,275,0.5205026455026456,0.5183597883597884
2121,all_9windows,275,0.5544973544973545,0.5550264550264551
2121,early_lateral,275,0.5138888888888888,0.48343915343915345
2121,lateral_3windows,275,0.5715608465608466,0.5516402116402117
2122,all_9windows,275,0.5063492063492063,0.5093650793650794
2122,early_lateral,275,0.5425925925925925,0.5325925925925926
2122,lateral_3windows,275,0.5496031746031746,0.543968253968254
2123,all_9windows,275,0.5042328042328043,0.5233862433862434
2123,early_lateral,275,0.4437830687830688,0.41089947089947093
2123,lateral_3windows,275,0.4107142857142857,0.3906878306878307
2124,all_9windows,275,0.45145502645502644,0.4549735449735449
2124,early_lateral,275,0.5025132275132276,0.5183597883597882
2124,lateral_3windows,275,0.4914021164021164,0.5042857142857143
2125,all_9windows,275,0.5193121693121693,0.5102116402116403
2125,early_lateral,275,0.5461640211640211,0.5511111111111111
2125,lateral_3windows,275,0.5424603174603174,0.542010582010582
