dataset,origin,held_block,method,alpha,gate,level,weight,contrast_normalized,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,2,gated,0.0,1.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,2,gated,0.0,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,2,gated,0.05,0.0,0.0,0.5,0.018124112399301926,1.9875344355485605,0.02055882976884519,1.7521570007818896,0.011019652136827022,0.0,2,0.029734871994771157
A1,semisynthetic,2,gated,0.05,1.0,0.0,0.5,0.009315812921022834,0.9237065844119051,0.009554715674671794,0.9006105495225927,0.0018798501429454866,0.0,2,0.014232067090897445
A1,semisynthetic,2,gated,0.05,2.0,0.0,0.5,0.0015510102568745403,0.17771156183146877,0.001838228149561793,0.1499446383907835,4.548279760596685e-06,0.0,2,0.0026137803248867377
A1,semisynthetic,2,gated,0.1,0.0,0.0,0.5,0.03624822479860382,3.975068871097126,0.041117659537690435,3.5043140015637757,0.02203930427365286,0.0,2,0.05946974398954234
A1,semisynthetic,2,gated,0.1,1.0,0.0,0.5,0.018631625842045623,1.8474131688238145,0.019109431349343634,1.801221099045181,0.003759700285891047,0.0,2,0.02846413418179491
A1,semisynthetic,2,gated,0.1,2.0,0.0,0.5,0.003102020513749077,0.35542312366293966,0.0036764562991236076,0.2998892767815667,9.096559522303593e-06,0.0,2,0.005227560649773508
A1,semisynthetic,2,gated,0.15,0.0,0.0,0.5,0.05437233719790569,5.962603306645691,0.061676489306535666,5.256471002345661,0.03305895641047929,0.0,2,0.0892046159843135
A1,semisynthetic,2,gated,0.15,1.0,0.0,0.5,0.027947438763068433,2.7711197532357232,0.028664147024015464,2.7018316485677714,0.005639550428836533,0.0,2,0.042696201272692386
A1,semisynthetic,2,gated,0.15,2.0,0.0,0.5,0.004653030770623603,0.5331346854944105,0.005514684448685422,0.4498339151723488,1.364483928460262e-05,0.0,2,0.007841340974660277
A1,semisynthetic,2,gated,0.25,0.0,0.0,0.5,0.0906205619965095,9.93767217774282,0.10279414884422614,8.760785003909437,0.05509826068413215,0.0,2,0.14867435997385592
A1,semisynthetic,2,gated,0.25,1.0,0.0,0.5,0.046579064605114025,4.618532922059542,0.04777357837335914,4.50305274761295,0.009399250714727655,0.0,2,0.07116033545448731
A1,semisynthetic,2,gated,0.25,2.0,0.0,0.5,0.007755051284372654,0.888557809157352,0.00919114074780905,0.7497231919539129,2.2741398807424318e-05,0.0,2,0.013068901624433797
A1,semisynthetic,2,shrink,0.0,0.0,1.0,0.25,0.3201900622904047,31.337584399413014,0.32415240285209634,30.954523281621807,3.42178068063517,41.015625,2,0.5196419435269339
A1,semisynthetic,2,shrink,0.05,0.0,1.0,0.25,0.3123581105250018,29.882557206658,0.3091017673361211,30.197365699876432,3.5325009509753653,41.015625,2,0.5018206099907041
A1,semisynthetic,2,shrink,0.1,0.0,1.0,0.25,0.3101293795871516,29.26114616227485,0.3026739622880906,29.981902099255425,3.6466062680913933,41.015625,2,0.4954587318743987
A1,semisynthetic,2,shrink,0.15,0.0,1.0,0.25,0.31362334831230304,29.526031642481318,0.3054139075179203,30.31968315177874,3.759681687324983,41.015625,2,0.5011153007210908
A1,semisynthetic,2,shrink,0.25,0.0,1.0,0.25,0.3367766895244921,32.55615986421482,0.3367572086321971,32.55804318854344,3.9892096750533703,41.015625,2,0.5464094837972473
A1,semisynthetic,2,gated,0.0,0.0,1.0,0.25,0.3201900622904047,31.337584399413014,0.32415240285209634,30.954523281621807,3.42178068063517,41.015625,2,0.5196419435269339
A1,semisynthetic,2,gated,0.0,1.0,1.0,0.25,0.3201900622904047,31.337584399413014,0.32415240285209634,30.954523281621807,3.42178068063517,41.015625,2,0.5196419435269339
A1,semisynthetic,2,gated,0.0,2.0,1.0,0.25,0.3201900622904047,31.337584399413014,0.32415240285209634,30.954523281621807,3.42178068063517,41.015625,2,0.5196419435269339
