dataset,origin,held_block,family,seed,level,method,n,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,1,direction_step,20260927,0.0,V7,12,6.177472142359287,0.11443835546667185,1.1894816912400343,0.3554725847051882,12.5,5,0.13204116448026806
A1,semisynthetic,1,direction_step,20260927,0.0,shrink,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,direction_step,20260927,0.0,gated,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,direction_step,20260927,0.5,uncorrected,12,11.026202165328645,0.2042616160404658,28.566924642760593,5.903709135879187,37.109375,4,0.5782312026050781
A1,semisynthetic,1,direction_step,20260927,0.5,V7,12,11.413039215352777,0.21142781522650264,26.660313883755915,5.5545217893123295,26.3671875,4,0.5612685798160904
A1,semisynthetic,1,direction_step,20260927,0.5,shrink,12,11.026202165328645,0.2042616160404658,28.566924642760593,5.903709135879187,37.109375,4,0.5782312026050781
A1,semisynthetic,1,direction_step,20260927,0.5,gated,12,11.026202165328645,0.2042616160404658,28.566924642760593,5.903709135879187,37.109375,4,0.5782312026050781
A1,semisynthetic,1,direction_step,20260927,1.0,uncorrected,12,22.05240433065729,0.4085232320809316,57.13384928552118,12.852742915753273,65.4296875,4,1.1758271599886172
A1,semisynthetic,1,direction_step,20260927,1.0,V7,12,20.035187885971318,0.3711540740774081,49.94833946710055,11.333493134649876,26.3671875,4,1.043757549046428
A1,semisynthetic,1,direction_step,20260927,1.0,shrink,12,22.05240433065729,0.4085232320809316,57.13384928552118,12.852742915753273,65.4296875,4,1.1758271599886172
A1,semisynthetic,1,direction_step,20260927,1.0,gated,12,22.05240433065729,0.4085232320809316,57.13384928552118,12.852742915753273,65.4296875,4,1.1758271599886172
A1,semisynthetic,1,direction_step,20260927,2.0,uncorrected,12,44.10480866131458,0.8170464641618632,114.26769857104236,26.486833409349146,67.3828125,4,2.3661288703751295
A1,semisynthetic,1,direction_step,20260927,2.0,V7,12,38.23285373956899,0.7082678490368818,96.24773854927052,22.56032887519434,41.015625,4,2.0177004466005743
A1,semisynthetic,1,direction_step,20260927,2.0,shrink,12,44.10480866131458,0.8170464641618632,114.26769857104236,26.486833409349146,67.3828125,4,2.3661288703751295
A1,semisynthetic,1,direction_step,20260927,2.0,gated,12,44.10480866131458,0.8170464641618632,114.26769857104236,26.486833409349146,67.3828125,4,2.3661288703751295
A1,semisynthetic,1,direction_step,20260928,0.0,uncorrected,12,0.0,0.0,0.0,0.0,0.0,5,0.0
