dataset,trial_id,block,gap_s,model,stage,MSE,method
A2,10,0,0.05,M3,maintenance,54313.56866793655,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M3,retrieval,33784.26883189034,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2_no_feedback,encoding,45389.50097933403,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2_no_feedback,maintenance,65416.65061047681,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2_no_feedback,retrieval,44737.89720831738,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2_no_direct_memory,encoding,47119.71778649077,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2_no_direct_memory,maintenance,61510.76634012091,frozen_main_fit_common_trial_rescore
A2,10,0,0.05,M2_no_direct_memory,retrieval,39727.195432413886,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M0,encoding,5711.086121953541,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M0,maintenance,17206.79394894667,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M0,retrieval,61781.714714987575,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M1,encoding,1336.3493872307674,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M1,maintenance,24970.114785175738,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M1,retrieval,78933.78711395052,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2,encoding,1254.2192541001732,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2,maintenance,28967.79819469564,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2,retrieval,116445.16330325625,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M3,encoding,2433.343107633199,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M3,maintenance,22365.407347731347,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M3,retrieval,110175.91818484658,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2_no_feedback,encoding,1254.2192541001732,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2_no_feedback,maintenance,28967.79819469564,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2_no_feedback,retrieval,116445.16330325625,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2_no_direct_memory,encoding,1332.8253911609227,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2_no_direct_memory,maintenance,23977.952961991163,frozen_main_fit_common_trial_rescore
A2,11,0,0.05,M2_no_direct_memory,retrieval,93474.01446485482,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M0,encoding,198944.7247630124,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M0,maintenance,423876.4778262105,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M0,retrieval,83027.7946407259,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M1,encoding,151062.12611311342,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M1,maintenance,470540.1397883712,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M1,retrieval,105187.51914963686,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2,encoding,147852.55987318995,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2,maintenance,467146.6704831458,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2,retrieval,140901.83744402498,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M3,encoding,164318.13584752887,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M3,maintenance,409817.2596850474,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M3,retrieval,131621.7271748191,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2_no_feedback,encoding,147852.55987318995,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2_no_feedback,maintenance,467146.6704831458,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2_no_feedback,retrieval,140901.83744402498,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2_no_direct_memory,encoding,154159.59995938555,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2_no_direct_memory,maintenance,467455.8319131224,frozen_main_fit_common_trial_rescore
A2,12,0,0.05,M2_no_direct_memory,retrieval,116821.04638718051,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M0,encoding,3755.4206833153007,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M0,maintenance,15084.045164114905,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M0,retrieval,24864.888542131383,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M1,encoding,10869.791748245658,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M1,maintenance,10462.152354302012,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M1,retrieval,19171.340587973344,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M2,encoding,10812.723127912495,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M2,maintenance,12757.965326390442,frozen_main_fit_common_trial_rescore
A2,13,0,0.05,M2,retrieval,6798.348427219176,frozen_main_fit_common_trial_rescore
