dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,9,0,1,M0,encoding,1,205,12674.847256930268,10842.452398289854,3645.6040109867877,0.061130603172704
B2,9,0,1,M0,encoding,2,205,3233.765213409909,2152.9558877938925,1370.6197607866109,0.016576646147097848
B2,9,0,1,M0,maintenance,0,362,20007.856892467575,22838.661824008595,1898.2853324579696,0.17313924363382263
B2,9,0,1,M0,maintenance,1,362,84260.2867769241,88589.77602651551,29474.125855859365,0.4063861322953632
B2,9,0,1,M0,maintenance,2,362,41320.030209682904,44571.19147053529,14095.58933250091,0.21181114718314692
B2,9,0,1,M0,retrieval,0,252,4165.834566717389,4367.071924601157,72280.68747291456,0.03604931052143923
B2,9,0,1,M0,retrieval,1,252,10296.069105957897,10265.01092593173,98027.04957799206,0.04965779089849842
B2,9,0,1,M0,retrieval,2,252,12141.043459523398,12365.022825201191,95074.75390074664,0.06223636164136843
B2,10,0,-1,M0,encoding,0,205,72616.56358956093,76110.53253551779,81210.65549616882,0.6283919843467731
B2,10,0,-1,M0,encoding,1,205,371298.6097367361,367533.3324656216,426046.6938348318,1.7907677710264003
B2,10,0,-1,M0,encoding,2,205,987678.5405812275,988356.0362858989,1009177.0879116884,5.062951882345479
B2,10,0,-1,M0,maintenance,0,362,59565.60560812436,56968.49245968803,99638.64898451697,0.5154547014709936
B2,10,0,-1,M0,maintenance,1,362,262195.14489755395,265487.33198604087,431893.43853334786,1.2645633538327836
B2,10,0,-1,M0,maintenance,2,362,1695835.1234106836,1694990.7062644074,1968027.6650419943,8.69304260186423
B2,10,0,-1,M0,retrieval,0,290,119427.26395630317,118820.47337021225,17694.12326932905,1.0334713138834857
B2,10,0,-1,M0,retrieval,1,290,47034.303039457714,46775.28997013785,187196.10940485305,0.2268457565070611
B2,10,0,-1,M0,retrieval,2,290,1027940.1403919684,1027853.4467295856,1500593.8274722714,5.269337395619945
B2,11,0,1,M0,encoding,0,205,57659.652975208766,52846.704452808444,48903.866658070736,0.4989614209043409
B2,11,0,1,M0,encoding,1,205,7526.516218723723,9015.605501657355,20352.307586121806,0.036300277779532986
B2,11,0,1,M0,encoding,2,205,6498.290524406245,7706.16813108248,9706.846023510083,0.03331097203267081
B2,11,0,1,M0,maintenance,0,362,639415.402551,653761.1481900706,462143.28775136394,5.533221262052056
B2,11,0,1,M0,maintenance,1,362,140298.13921652205,144033.67475424957,65575.49826483616,0.676655876040209
