dataset,fold,seed,level,stage,n,candidate,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,4,2039,1.0,V3,18,保守双分量,88.825315580259,0.8707166781643999,30.211929085197475,10.8322278217732,104.16666666666667,3,1.1249777133834462
VisualCogA_Task-1,4,2039,1.0,V4,18,保守双分量,40.32097479912987,0.39524931612234493,26.183003148421882,7.398663189845191,50.78125,3,0.5961056607562085
VisualCogA_Task-1,4,2039,2.0,预处理,18,保守双分量,83.65377738752338,0.8200222952988484,67.69940921992594,15.545911690669087,75.52083333333333,3,1.3042264510646433
VisualCogA_Task-1,4,2039,2.0,V3,18,保守双分量,89.49103542334984,0.8772424458082022,32.92146436556115,12.33054711709898,35.15625,3,1.1594710752065767
VisualCogA_Task-1,4,2039,2.0,V4,18,保守双分量,57.600111012011084,0.5646293176066723,48.05699517094244,13.82799751737965,53.385416666666664,3,0.9357203905465459
VisualCogA_Task-1,4,2053,0.0,预处理,18,保守双分量,7.547014642035182e-15,7.398016518425298e-17,8.111246939010637e-15,1.5543122344752192e-15,0.0,4,1.289719718440583e-16
VisualCogA_Task-1,4,2053,0.0,V3,18,保守双分量,85.98799016228672,0.842903587418035,24.794952297119394,11.403328765815628,23.4375,4,1.0762127252162415
VisualCogA_Task-1,4,2053,0.0,V4,18,保守双分量,29.92511819551607,0.2933431684273991,9.55443742204437,4.097702206700723,10.7421875,4,0.38034023238344145
VisualCogA_Task-1,4,2053,0.5,预处理,18,保守双分量,19.305944191315497,0.18924793551564328,15.134322962983582,3.1569117592838563,33.203125,4,0.2943714508963772
VisualCogA_Task-1,4,2053,0.5,V3,18,保守双分量,88.32037747728083,0.8657669853337954,27.26452069890212,10.698575184254166,44.921875,4,1.1042717871966157
VisualCogA_Task-1,4,2053,0.5,V4,18,保守双分量,36.09981972649185,0.3538711335754649,14.320159572475335,5.303969421997017,71.2890625,4,0.47605089113867555
VisualCogA_Task-1,4,2053,1.0,预处理,18,保守双分量,38.59216837316548,0.37830256419051694,29.459520222643324,5.583676740346882,41.666666666666664,3,0.577426520486576
VisualCogA_Task-1,4,2053,1.0,V3,18,保守双分量,88.2895969666059,0.8654652571177796,24.855815097145864,10.374883586905154,130.20833333333334,3,1.0889912915670479
VisualCogA_Task-1,4,2053,1.0,V4,18,保守双分量,44.70461067074295,0.4382202286316784,22.66028327369901,5.825112337132051,83.33333333333333,3,0.6063858653728734
VisualCogA_Task-1,4,2053,2.0,预处理,18,保守双分量,77.08684812384944,0.755649489000848,57.8114319617147,9.733558980694712,57.291666666666664,3,1.1344138189829265
