dataset,trial_id,block,cue,onset_sample,duration_ms,filter_start,filter_end,prestim_start,prestim_end,retained,reason
B1,27,1,1,61072,203.125,47236,90008,54864,61072,True,retained
B1,28,1,1,63176,203.125,47236,90008,56968,63176,True,retained
B1,29,1,1,65365,203.125,47236,90008,59157,65365,True,retained
B1,30,1,-1,67489,203.125,47236,90008,61281,67489,True,retained
B1,31,1,1,69694,203.125,47236,90008,63486,69694,True,retained
B1,32,1,-1,71822,203.125,47236,90008,65614,71822,True,retained
B1,33,1,-1,73895,203.125,47236,90008,67687,73895,True,retained
B1,34,1,1,76035,203.125,47236,90008,69827,76035,True,retained
B1,35,1,-1,78188,203.125,47236,90008,71980,78188,True,retained
B1,36,1,-1,80340,203.125,47236,90008,74132,80340,False,quality
B1,37,1,-1,82429,203.125,47236,90008,76221,82429,True,retained
B1,38,1,-1,84649,207.03125,47236,90008,78441,84649,False,boundary
B1,39,1,1,86790,203.125,47236,90008,80582,86790,False,boundary
B1,40,1,1,88926,207.03125,47236,90008,82718,88926,False,boundary
B1,41,2,-1,91091,203.125,90008,132743,84883,91091,False,boundary
B1,42,2,1,93191,207.03125,90008,132743,86983,93191,False,boundary
B1,43,2,1,95340,203.125,90008,132743,89132,95340,False,boundary
B1,44,2,1,97457,203.125,90008,132743,91249,97457,True,retained
B1,45,2,1,99705,203.125,90008,132743,93497,99705,True,retained
B1,46,2,-1,101998,203.125,90008,132743,95790,101998,True,retained
B1,47,2,-1,104198,203.125,90008,132743,97990,104198,True,retained
B1,48,2,1,106294,207.03125,90008,132743,100086,106294,True,retained
B1,49,2,1,108395,203.125,90008,132743,102187,108395,True,retained
B1,50,2,-1,110568,203.125,90008,132743,104360,110568,True,retained
B1,51,2,1,112656,203.125,90008,132743,106448,112656,True,retained
B1,52,2,-1,114757,203.125,90008,132743,108549,114757,True,retained
B1,53,2,1,116897,203.125,90008,132743,110689,116897,True,retained
B1,54,2,-1,118978,203.125,90008,132743,112770,118978,False,quality
B1,55,2,1,121067,203.125,90008,132743,114859,121067,True,retained
B1,56,2,-1,123211,203.125,90008,132743,117003,123211,True,retained
B1,57,2,1,125304,203.125,90008,132743,119096,125304,True,retained
B1,58,2,1,127412,203.125,90008,132743,121204,127412,False,boundary
B1,59,2,1,129525,203.125,90008,132743,123317,129525,False,boundary
B1,60,2,1,131677,203.125,90008,132743,125469,131677,False,boundary
B1,61,3,-1,133810,203.125,132743,175474,127602,133810,False,boundary
B1,62,3,-1,136034,207.03125,132743,175474,129826,136034,False,boundary
B1,63,3,1,138195,203.125,132743,175474,131987,138195,False,boundary
B1,64,3,-1,140335,207.03125,132743,175474,134127,140335,True,retained
B1,65,3,-1,142448,203.125,132743,175474,136240,142448,True,retained
B1,66,3,-1,144604,207.03125,132743,175474,138396,144604,True,retained
B1,67,3,1,146681,203.125,132743,175474,140473,146681,True,retained
B1,68,3,1,148774,203.125,132743,175474,142566,148774,True,retained
B1,69,3,-1,150958,203.125,132743,175474,144750,150958,True,retained
B1,70,3,-1,153079,203.125,132743,175474,146871,153079,True,retained
B1,71,3,1,155199,203.125,132743,175474,148991,155199,True,retained
B1,72,3,1,157292,203.125,132743,175474,151084,157292,True,retained
B1,73,3,-1,159392,207.03125,132743,175474,153184,159392,True,retained
B1,74,3,-1,161513,203.125,132743,175474,155305,161513,True,retained
