dataset,block,features,n,Accuracy,BA,Precision,Recall,F1,AUC,TN,FP,FN,TP
A1,2,past_only,13,0.6923076923076923,0.7023809523809523,0.625,0.8333333333333334,0.7142857142857143,0.6904761904761905,4,3,1,5
A1,2,peak_latency,13,0.5384615384615384,0.5595238095238095,0.5,0.8333333333333334,0.625,0.6666666666666667,2,5,1,5
A1,2,post_given_past,13,0.5384615384615384,0.5714285714285714,0.5,1.0,0.6666666666666666,0.6190476190476191,1,6,0,6
A1,2,previous_cue,13,0.6153846153846154,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.619047619047619,4,3,2,4
A1,2,spatial,13,0.5384615384615384,0.5595238095238095,0.5,0.8333333333333334,0.625,0.6666666666666667,2,5,1,5
A1,3,amplitude,13,0.46153846153846156,0.47619047619047616,0.5,0.2857142857142857,0.36363636363636365,0.38095238095238093,4,2,5,2
A1,3,covariance,13,0.15384615384615385,0.14285714285714285,0.25,0.2857142857142857,0.26666666666666666,0.2142857142857143,0,6,5,2
A1,3,mechanism,13,0.46153846153846156,0.4642857142857143,0.5,0.42857142857142855,0.46153846153846156,0.3571428571428571,3,3,4,3
A1,3,past_only,13,0.5384615384615384,0.5357142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.38095238095238093,3,3,3,4
A1,3,peak_latency,13,0.5384615384615384,0.5476190476190476,0.6,0.42857142857142855,0.5,0.38095238095238093,4,2,4,3
A1,3,post_given_past,13,0.38461538461538464,0.39285714285714285,0.4,0.2857142857142857,0.3333333333333333,0.3571428571428571,3,3,5,2
A1,3,previous_cue,13,0.7692307692307693,0.7738095238095238,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.773809523809524,5,1,2,5
A1,3,spatial,13,0.46153846153846156,0.4642857142857143,0.5,0.42857142857142855,0.46153846153846156,0.3809523809523809,3,3,4,3
A1,4,amplitude,15,0.4666666666666667,0.6,1.0,0.2,0.3333333333333333,0.82,5,0,8,2
A1,4,covariance,15,0.26666666666666666,0.25,0.42857142857142855,0.3,0.35294117647058826,0.09999999999999999,1,4,7,3
A1,4,mechanism,15,0.3333333333333333,0.45,0.5,0.1,0.16666666666666666,0.49999999999999994,4,1,9,1
A1,4,past_only,15,0.6,0.65,0.8333333333333334,0.5,0.625,0.76,4,1,5,5
A1,4,peak_latency,15,0.3333333333333333,0.45,0.5,0.1,0.16666666666666666,0.38,4,1,9,1
A1,4,post_given_past,15,0.4666666666666667,0.5,0.6666666666666666,0.4,0.5,0.48,3,2,6,4
A1,4,previous_cue,15,0.5333333333333333,0.6000000000000001,0.8,0.4,0.5333333333333333,0.6,4,1,6,4
A1,4,spatial,15,0.4,0.55,1.0,0.1,0.18181818181818182,0.45999999999999996,5,0,9,1
A2,0,amplitude,16,0.5625,0.5317460317460317,0.5,0.2857142857142857,0.36363636363636365,0.6349206349206349,7,2,5,2
A2,0,covariance,16,0.5625,0.5317460317460317,0.5,0.2857142857142857,0.36363636363636365,0.6031746031746033,7,2,5,2
A2,0,mechanism,16,0.375,0.3492063492063492,0.2,0.14285714285714285,0.16666666666666666,0.2698412698412699,5,4,6,1
A2,0,past_only,16,0.375,0.3968253968253968,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.30158730158730157,2,7,3,4
A2,0,peak_latency,16,0.3125,0.30952380952380953,0.25,0.2857142857142857,0.26666666666666666,0.25396825396825395,3,6,5,2
A2,0,post_given_past,16,0.25,0.2222222222222222,0.0,0.0,0.0,0.253968253968254,4,5,7,0
A2,0,previous_cue,16,0.5,0.4920634920634921,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4920634920634921,5,4,4,3
A2,0,spatial,16,0.375,0.38095238095238093,0.3333333333333333,0.42857142857142855,0.375,0.3015873015873016,3,6,4,3
A2,1,amplitude,12,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4722222222222222,5,1,4,2
A2,1,covariance,12,0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.8,0.6944444444444444,6,0,2,4
A2,1,mechanism,12,0.3333333333333333,0.3333333333333333,0.375,0.5,0.42857142857142855,0.5,1,5,3,3
A2,1,past_only,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222224,2,4,4,2
A2,1,peak_latency,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.22222222222222218,1,5,5,1
A2,1,post_given_past,12,0.3333333333333333,0.3333333333333333,0.375,0.5,0.42857142857142855,0.3055555555555556,1,5,3,3
A2,1,previous_cue,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,4,2,2,4
A2,1,spatial,12,0.5,0.5,0.5,0.8333333333333334,0.625,0.2222222222222222,1,5,1,5
A2,2,amplitude,13,0.38461538461538464,0.39285714285714285,0.375,0.5,0.42857142857142855,0.38095238095238093,2,5,3,3
A2,2,covariance,13,0.6153846153846154,0.6071428571428572,0.6,0.5,0.5454545454545454,0.6428571428571429,5,2,3,3
A2,2,mechanism,13,0.3076923076923077,0.30952380952380953,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.30952380952380953,2,5,4,2
A2,2,past_only,13,0.5384615384615384,0.5238095238095238,0.5,0.3333333333333333,0.4,0.38095238095238093,5,2,4,2
A2,2,peak_latency,13,0.46153846153846156,0.47619047619047616,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.45238095238095233,2,5,2,4
A2,2,post_given_past,13,0.5384615384615384,0.5476190476190476,0.5,0.6666666666666666,0.5714285714285714,0.5238095238095238,3,4,2,4
A2,2,previous_cue,13,0.6153846153846154,0.6071428571428572,0.6,0.5,0.5454545454545454,0.6071428571428571,5,2,3,3
A2,2,spatial,13,0.46153846153846156,0.47619047619047616,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.35714285714285715,2,5,2,4
A2,3,amplitude,14,0.5,0.5,0.5,0.42857142857142855,0.46153846153846156,0.4897959183673469,4,3,4,3
A2,3,covariance,14,0.6428571428571429,0.6428571428571428,1.0,0.2857142857142857,0.4444444444444444,0.7551020408163265,7,0,5,2
A2,3,mechanism,14,0.5714285714285714,0.5714285714285714,0.6,0.42857142857142855,0.5,0.5510204081632653,5,2,4,3
A2,3,past_only,14,0.35714285714285715,0.3571428571428571,0.4,0.5714285714285714,0.47058823529411764,0.3673469387755102,1,6,3,4
A2,3,peak_latency,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4897959183673469,4,3,3,4
A2,3,post_given_past,14,0.5,0.5,0.5,0.42857142857142855,0.46153846153846156,0.5306122448979591,4,3,4,3
A2,3,previous_cue,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3,4
A2,3,spatial,14,0.5,0.5,0.5,0.2857142857142857,0.36363636363636365,0.4897959183673469,5,2,5,2
A2,4,amplitude,15,0.5333333333333333,0.7083333333333334,0.3,1.0,0.46153846153846156,0.7222222222222222,5,7,0,3
A2,4,covariance,15,0.5333333333333333,0.5833333333333333,0.25,0.6666666666666666,0.36363636363636365,0.6944444444444444,6,6,1,2
A2,4,mechanism,15,0.5333333333333333,0.45833333333333337,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5833333333333333,7,5,2,1
A2,4,past_only,15,0.5333333333333333,0.45833333333333337,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,7,5,2,1
A2,4,peak_latency,15,0.4666666666666667,0.41666666666666663,0.14285714285714285,0.3333333333333333,0.2,0.3888888888888889,6,6,2,1
A2,4,post_given_past,15,0.6,0.5,0.2,0.3333333333333333,0.25,0.5833333333333333,8,4,2,1
