dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,94,4,1,peak_latency,-8.638569730491383,-15.23427643841946,-10.017604716288323,2.6081110485815664,,3.8735938277926536,343.75,,343.75,0.0,1.0,0.0,,,,,,,,,,,,
A1,95,4,-1,peak_latency,-3.7649144965439874,-22.522038225067096,-3.989258994112401,4.541124531044389,,11.942226636447359,378.90625,,273.4375,0.0,1.0,0.0,,,,,,,,,,,,
A1,96,4,1,peak_latency,3.0213309252218763,-43.77043830584864,-25.322881270555992,15.003322904740317,,,347.65625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,97,4,1,peak_latency,2.070794557499889,7.637406539129625,15.740623484185736,13.620197992745304,,,316.40625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,98,4,-1,peak_latency,89.31404324484897,-251.9786786505936,-150.16605406910432,101.18979249127636,,,398.4375,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,99,4,-1,peak_latency,13.382682796032277,-5.348170981920552,-7.35053884537723,26.313623256183092,2.5053332498117555,3.613136384663349,355.46875,324.21875,355.46875,0.0,0.0,0.0,,,,,,,,,,,,
A1,2,0,1,spatial,2.896180016127462,93.60492299131398,-140.0622790062612,17.849213084027866,102.57181795712584,,289.0625,375.0,,0.0,0.0,1.0,-1.0,-233.6672019975752,,,,,,,,,,
A1,4,0,-1,spatial,-4.87555706058907,-192.17105677380286,-141.63386509322817,16.58672870281311,,,300.78125,,,0.0,1.0,1.0,0.1513973832318322,50.53719168057469,,,,,,,,,,
A1,5,0,1,spatial,-8.464900596258985,-136.8072829470237,-75.11603396350176,6.8490560442858275,,,277.34375,,,0.0,1.0,1.0,0.2911017526663578,61.691248983521945,,,,,,,,,,
A1,6,0,-1,spatial,-9.599403140926864,-324.0124284242338,-393.36187916794535,3.604367588375716,,,347.65625,,,0.0,1.0,1.0,-0.09667122171754175,-69.34945074371154,,,,,,,,,,
A1,7,0,-1,spatial,-1.0075978066263396,-12.459103515739805,-42.51704051557046,6.433135309194593,0.6711413094723753,,437.5,433.59375,,0.0,0.0,1.0,-0.5467450933392477,-30.057936999830652,,,,,,,,,,
A1,8,0,-1,spatial,5.910946937226036,14.92817539289868,58.556337054867036,16.30482701236214,26.742155944681343,73.0678115086385,332.03125,332.03125,441.40625,0.0,0.0,0.0,0.5937055334344109,43.628161661968356,,,,,,,,,,
A1,9,0,1,spatial,7.202807697454732,17.06661602161466,-5.490634770007405,18.24132696724516,25.81943671446281,2.4671810467187214,417.96875,421.875,410.15625,0.0,0.0,0.0,-1.0,-22.557250791622067,,,,,,,,,,
A1,10,0,1,spatial,6.9339800191042515,23.983153077208673,45.55113440876803,20.071886545328287,36.66780288930671,54.5450930125223,261.71875,472.65625,355.46875,0.0,0.0,0.0,0.3101776420145107,21.567981331559356,,,,,,,,,,
