dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials,setting
A1,N2_no_projection,retrieval,82378.82594743384,79958.28338089834,82426.64834710919,1.768666829237551,287.0171178648302,1.3299123389297323,-0.03027256794652189,0.0005801812961503394,65,stimulus
A1,N2_no_retrieval,encoding,14418.303601254756,14101.802634763324,14074.293121942592,0.2921740205795495,120.07624078582222,0.5405312392263277,-0.02244400766971477,-0.024442469425042246,65,stimulus
A1,N2_no_retrieval,maintenance,66951.08272916276,66262.2424471788,70149.22938719629,1.3392203484104,258.7490729049338,1.1572468830851954,-0.010395668129298263,0.045590617116846865,65,stimulus
A1,N2_no_retrieval,retrieval,81390.73579337084,79958.28338089834,82426.64834710919,1.7537959624450545,285.2906163780555,1.3243096172893463,-0.01791499706976829,0.0125676898734981,65,stimulus
A1,N2_fixed_target,encoding,14416.669454349878,14101.802634763324,14074.293121942592,0.2921487003856651,120.06943597081597,0.5405078171365009,-0.022328125541223542,-0.024326360794170387,65,stimulus
A1,N2_fixed_target,maintenance,66877.20707673817,66262.2424471788,70149.22938719629,1.3379757219278376,258.60627810774076,1.1567090048615674,-0.009280769965634539,0.04664373848496384,65,stimulus
A1,N2_fixed_target,retrieval,81290.4339742672,79958.28338089834,82426.64834710919,1.7522487621874638,285.11477333569934,1.323725334874068,-0.016660570200374147,0.013784551423918656,65,stimulus
A1,N2_equal_penalty,encoding,14451.618277082647,14101.802634763324,14074.293121942592,0.29264818217289834,120.21488375855398,0.5409696684407531,-0.024806448606575104,-0.02680952797208591,65,stimulus
A1,N2_equal_penalty,maintenance,66719.0829936779,66262.2424471788,70149.22938719629,1.3358225023752026,258.30037358408504,1.155777877611093,-0.006894432328686806,0.04889784853637269,65,stimulus
A1,N2_equal_penalty,retrieval,81244.72126052619,79958.28338089834,82426.64834710919,1.7515336799681729,285.03459660280924,1.3234552051233819,-0.016088863157549538,0.014339138012815389,65,stimulus
A1,V1_M2,encoding,14554.750153037312,14101.802634763324,14074.293121942592,0.2948449162298661,120.64306922918246,0.5429962396093237,-0.03211983106027838,-0.03413720511090257,65,stimulus
A1,V1_M2,maintenance,67245.36398188911,66262.2424471788,70149.22938719629,1.3447754242915313,259.3171108544307,1.1596445249694112,-0.01483682861312774,0.04139554248385224,65,stimulus
A1,V1_M2,retrieval,83045.15522662009,79958.28338089834,82426.64834710919,1.7792512228985664,288.17556320170536,1.333885760812584,-0.03860602948435976,-0.007503724728758598,65,stimulus
A2,N0,encoding,44498.59775467909,44697.977958956806,44431.121155594,0.5022921264460829,210.9469074309436,0.7087257060711731,0.004460609033831386,-0.0015186787398135948,68,stimulus
A2,N0,maintenance,103705.89457968008,103906.94634634843,106218.9977643507,1.2181153800267037,322.0339959999256,1.1036826446160617,0.0019349213285335676,0.02365963940128668,68,stimulus
A2,N0,retrieval,119786.17855086968,119659.49333398242,117714.05526161636,1.410320039997491,346.1013992327533,1.1875689622070336,-0.001058714301368946,-0.017603023569684018,68,stimulus
A2,N1,encoding,42334.674737371155,44697.977958956806,44431.121155594,0.474018907990203,205.75391791499658,0.6884903107453314,0.05287270989653525,0.04718418900304744,68,stimulus
A2,N1,maintenance,101653.66068381594,103906.94634634843,106218.9977643507,1.1936407755308387,318.8317121677452,1.0925386837686062,0.021685611422182616,0.04298041947884945,68,stimulus
A2,N1,retrieval,118668.93649883875,119659.49333398242,117714.05526161636,1.3957654584799921,344.48357943280655,1.1814251810758023,0.008278129946438284,-0.008111871051423636,68,stimulus
A2,N2,encoding,42357.91307216085,44697.977958956806,44431.121155594,0.47447429612938935,205.81038135176965,0.6888209463491869,0.05235281311706497,0.046661169682685966,68,stimulus
A2,N2,maintenance,102449.67037682194,103906.94634634843,106218.9977643507,1.203061324420232,320.0776005546498,1.0968415220168464,0.014024817596592687,0.03548637688985823,68,stimulus
A2,N2,retrieval,116236.52095117909,119659.49333398242,117714.05526161636,1.3656009768517556,340.9347752154055,1.1685893106013574,0.028605940802786556,0.012551893715270435,68,stimulus
A2,N3,encoding,42957.471455882616,44697.977958956806,44431.121155594,0.4828903343509396,207.2618427397639,0.6949031114845721,0.03893926711119644,0.033167060865981535,68,stimulus
A2,N3,maintenance,103309.84226807479,103906.94634634843,106218.9977643507,1.213166588707513,321.41848463969023,1.1014384180277683,0.005746527053959727,0.027388278533092003,68,stimulus
A2,N3,retrieval,116708.70849572851,119659.49333398242,117714.05526161636,1.373341294952196,341.62656292467733,1.171896452316584,0.02465984733879789,0.008540583906089139,68,stimulus
A2,N2_no_projection,encoding,42341.59489993114,44697.977958956806,44431.121155594,0.474101985190899,205.77073382755657,0.6885506409777709,0.05271788941301503,0.04702843865554329,68,stimulus
A2,N2_no_projection,maintenance,101651.50887618966,103906.94634634843,106218.9977643507,1.1936127425816345,318.8283376304397,1.0925258544225096,0.021706320409424995,0.04300067769697957,68,stimulus
A2,N2_no_projection,retrieval,118503.12876686067,119659.49333398242,117714.05526161636,1.39402071840008,344.24283400945427,1.180686545362519,0.009663792941979277,-0.006703307463926889,68,stimulus
A2,N2_no_retrieval,encoding,42338.0062662632,44697.977958956806,44431.121155594,0.4739970832348162,205.76201366205376,0.6884744608442758,0.052798175677222225,0.047109207125359154,68,stimulus
A2,N2_no_retrieval,maintenance,102374.56403268523,103906.94634634843,106218.9977643507,1.2032341767247998,319.9602538326991,1.096920314665017,0.014747640726110567,0.03619346644744692,68,stimulus
A2,N2_no_retrieval,retrieval,116588.40071128837,119659.49333398242,117714.05526161636,1.3697352327826666,341.4504366834056,1.1703568826570239,0.025665265137988724,0.00956261805632519,68,stimulus
A2,N2_fixed_target,encoding,42394.49773271512,44697.977958956806,44431.121155594,0.4749626554260714,205.89924170019452,0.6891753444705283,0.05153432731021568,0.04583776798579531,68,stimulus
A2,N2_fixed_target,maintenance,102300.14041291943,103906.94634634843,106218.9977643507,1.201232371443451,319.8439313367059,1.0960074686987544,0.015463893319250355,0.03689412848843998,68,stimulus
A2,N2_fixed_target,retrieval,116050.4749179208,119659.49333398242,117714.05526161636,1.3636948863517968,340.6618189905068,1.1677734739031354,0.030160736231670815,0.014132384956055621,68,stimulus
A2,N2_equal_penalty,encoding,42256.86347819011,44697.977958956806,44431.121155594,0.4733060459859911,205.56474278968685,0.6879724165880425,0.054613532697345035,0.04893546732232623,68,stimulus
A2,N2_equal_penalty,maintenance,102438.57220820125,103906.94634634843,106218.9977643507,1.2031040584451813,320.06026340081837,1.096861002335839,0.014131626323159452,0.03559086072847728,68,stimulus
A2,N2_equal_penalty,retrieval,116076.72961705606,119659.49333398242,117714.05526161636,1.3643627588978917,340.70035165384854,1.1680593987027765,0.029941324479174303,0.013909347026753838,68,stimulus
A2,V1_M2,encoding,42297.733028762246,44697.977958956806,44431.121155594,0.4737634023116262,205.66412674251737,0.6883047307055402,0.05369918371695792,0.04801562669014836,68,stimulus
