dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A2,stimulus,2,0,-1,N1,retrieval,1,480,155672.9658286144,131104.1636054363,232269.3129110626,1.447576133623871
A2,stimulus,2,0,-1,N1,retrieval,2,480,200794.64439266172,168483.137287682,291660.8940461728,1.4807078761576842
A2,stimulus,3,0,-1,N1,encoding,0,205,1964.0369329719633,726.409480579543,3105.7003615431477,0.046484425123647574
A2,stimulus,3,0,-1,N1,encoding,1,205,3659.2199818857007,954.0683523544016,2481.5545668912528,0.03402645722886116
A2,stimulus,3,0,-1,N1,encoding,2,205,4167.338568780041,856.5254137618575,1621.2303964388664,0.03073095430444563
A2,stimulus,3,0,-1,N1,maintenance,0,362,9149.35586663806,13965.033677641288,9984.884899702027,0.2165450865879485
A2,stimulus,3,0,-1,N1,maintenance,1,362,19745.845839818216,31680.80490289129,13306.23991513041,0.18361322419594495
A2,stimulus,3,0,-1,N1,maintenance,2,362,24426.497120360742,40144.82499465216,18812.363127999724,0.18012684941104412
A2,stimulus,3,0,-1,N1,retrieval,0,360,12416.498475746568,8012.891169328908,19012.005797658392,0.29387115079366216
A2,stimulus,3,0,-1,N1,retrieval,1,360,45126.6112868962,29406.782421823416,75296.96418548435,0.4196245966184659
A2,stimulus,3,0,-1,N1,retrieval,2,360,46320.33185494281,28951.09709910813,80876.91920087236,0.34157723883176466
A2,stimulus,4,0,-1,N1,encoding,0,205,773.2285497726419,572.3128621939094,1997.2363536371865,0.018300615442594665
A2,stimulus,4,0,-1,N1,encoding,1,205,2687.1929958609835,481.06218796160175,1507.087574755453,0.02498774547362404
A2,stimulus,4,0,-1,N1,encoding,2,205,3279.0503231681696,782.6855593639508,1480.0739407565725,0.024180503690814332
A2,stimulus,4,0,-1,N1,maintenance,0,362,3830.383028062786,1318.926697364024,2704.2414312330084,0.0906567234422861
A2,stimulus,4,0,-1,N1,maintenance,1,362,8369.110216917043,2689.3939294534944,13990.644977157828,0.07782291642734254
A2,stimulus,4,0,-1,N1,maintenance,2,362,18344.12016670864,7689.548761747011,25337.76095352507,0.13527394266010198
A2,stimulus,4,0,-1,N1,retrieval,0,363,5221.923927869815,2198.772435962912,10226.08635277396,0.12359142934198233
A2,stimulus,4,0,-1,N1,retrieval,1,363,13518.779093706042,3837.801395759074,34373.074836692904,0.1257088015739797
A2,stimulus,4,0,-1,N1,retrieval,2,363,21359.59296715362,7460.692006860506,48688.38213756133,0.15751076246903375
A2,stimulus,5,0,1,N1,encoding,0,205,10507.435270329388,21568.924729032493,12652.680932932577,0.24868783262955704
A2,stimulus,5,0,1,N1,encoding,1,205,38623.31536986646,64967.53886508249,52099.98263116973,0.35915156644731827
A2,stimulus,5,0,1,N1,encoding,2,205,33894.04466923696,63254.575598622534,53812.06898076127,0.24994281619601652
A2,stimulus,5,0,1,N1,maintenance,0,362,151662.09995409858,128745.89376147125,143462.43577856204,3.5895076162053465
A2,stimulus,5,0,1,N1,maintenance,1,362,267397.5271567069,226409.75032172134,304733.9366936679,2.4864836128852157
A2,stimulus,5,0,1,N1,maintenance,2,362,279645.6362952413,232504.00504092238,312160.71365577524,2.062174005924949
A2,stimulus,5,0,1,N1,retrieval,0,346,67417.28124414464,52743.7806023514,79746.37444584703,1.5956184476079138
A2,stimulus,5,0,1,N1,retrieval,1,346,110253.65613455042,77933.06101914124,159569.89318461943,1.0252297848610266
A2,stimulus,5,0,1,N1,retrieval,2,346,130238.93477015046,89062.37995197842,184862.15705807926,0.9604131478697767
A2,stimulus,6,0,-1,N1,encoding,0,205,2050.561960596366,4428.347000244747,4132.025360547781,0.04853228181127204
A2,stimulus,6,0,-1,N1,encoding,1,205,2970.695707752753,3484.8615724099436,3680.9008219531793,0.027623988429282657
A2,stimulus,6,0,-1,N1,encoding,2,205,4190.3733378032175,9413.011214100992,8043.748616239607,0.03090081821700791
