dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,past,4,0,-1,N0,maintenance,2,362,159984.06140332096,78740.82239533214,97220.33980925562,1.9842701879119242
B1,past,4,0,-1,N0,retrieval,0,236,26117.912680736405,260466.78070229443,216333.42173687083,0.319982698914532
B1,past,4,0,-1,N0,retrieval,1,236,34304.30375182379,3635.508880389611,2966.8490155616705,0.43396036816097644
B1,past,4,0,-1,N0,retrieval,2,236,31159.67493915373,10676.464206473283,19194.142506579406,0.38647108658478896
B1,past,5,0,1,N0,encoding,0,205,3289.265731573312,27761.7681547819,28386.409421524346,0.04029832472072707
B1,past,5,0,1,N0,encoding,1,205,55617.92015435807,32711.2184616875,44315.727069018765,0.7035844039029604
B1,past,5,0,1,N0,encoding,2,205,113647.14037294957,44203.480253441034,57039.79526879068,1.409556868386918
B1,past,5,0,1,N0,maintenance,0,362,19343.279249876043,25356.678799456855,25819.481508708017,0.23698351303540252
B1,past,5,0,1,N0,maintenance,1,362,123609.6050100344,219099.36526688567,195995.98857759126,1.563700872242176
B1,past,5,0,1,N0,maintenance,2,362,56091.13089594535,157552.65497803275,176895.21755556593,0.6956940451868004
B1,past,5,0,1,N0,retrieval,0,283,241090.3427583885,275583.6836840626,230873.56119481684,2.9537099499899093
B1,past,5,0,1,N0,retrieval,1,283,418768.92725422734,665789.3824881468,570822.2747693321,5.29756030497952
B1,past,5,0,1,N0,retrieval,2,283,215613.51276573024,649260.2105525782,715240.6830145455,2.674238056836358
B1,past,7,0,1,N0,encoding,0,205,2328.698042391316,10990.683343075365,11368.45274325536,0.028529963082040255
B1,past,7,0,1,N0,encoding,1,205,13238.987731401627,5730.354568523071,10944.564104464565,0.1674774113347879
B1,past,7,0,1,N0,encoding,2,205,8787.150699859958,4136.608465767525,8424.877271858772,0.10898636412576772
B1,past,7,0,1,N0,maintenance,0,362,12472.395138549624,52248.72402775717,66265.89003405103,0.15280511529181934
B1,past,7,0,1,N0,maintenance,1,362,36580.43552875405,13874.098804777897,21707.61591574986,0.46275416007249554
B1,past,7,0,1,N0,maintenance,2,362,18376.48419631829,11524.1090515989,5775.4353707174205,0.22792214067789685
B1,past,7,0,1,N0,retrieval,0,267,6561.862294956256,73151.15086612898,99741.56153203732,0.08039242770706767
B1,past,7,0,1,N0,retrieval,1,267,57313.84489895514,27524.812690254174,50804.57659358457,0.7250383920632514
B1,past,7,0,1,N0,retrieval,2,267,3625.3371626238477,4573.13778745847,1389.742511544887,0.044964782052810036
B1,past,8,0,-1,N0,encoding,0,205,948.2142238488555,404.3892687378161,469.2132132722871,0.01161701358776999
B1,past,8,0,-1,N0,encoding,1,205,498.6069716671673,483.8386946713542,2595.6241034958607,0.006307536994707549
B1,past,8,0,-1,N0,encoding,2,205,5711.4219802724765,5832.370946073686,10922.748283460109,0.07083833393545984
B1,past,8,0,-1,N0,maintenance,0,362,4903.560432756969,1493.0253373302037,4537.382663321704,0.060075800112516696
B1,past,8,0,-1,N0,maintenance,1,362,977.3154411920373,979.9225804539432,3832.707101284795,0.01236335159976991
B1,past,8,0,-1,N0,maintenance,2,362,951.943461456714,3850.76799868295,1307.4139916826593,0.011806882601787924
B1,past,8,0,-1,N0,retrieval,0,223,10647.038550998986,2643.163428642058,9277.660166756214,0.13044182253923
B1,past,8,0,-1,N0,retrieval,1,223,847.0048194645495,1194.206575552177,8957.534884702201,0.010714880731821171
B1,past,8,0,-1,N0,retrieval,2,223,5984.926661270993,149.86718864971505,1516.6239340849818,0.07423059176414158
B1,past,9,0,-1,N0,encoding,0,205,248.0006004108348,237.8174624912947,195.24384048423659,0.003038370731303243
B1,past,9,0,-1,N0,encoding,1,205,622.7313515172415,562.1584043512469,1950.823142402535,0.007877749932628708
B1,past,9,0,-1,N0,encoding,2,205,356.46773729151244,178.07045134721875,884.0296394052865,0.004421242327864075
B1,past,9,0,-1,N0,maintenance,0,363,219.27147885258498,118.22292973843048,558.6368297739149,0.002686396897634953
B1,past,9,0,-1,N0,maintenance,1,363,99.83667922459666,138.55100990051568,625.6327354397044,0.0012629657895322215
B1,past,9,0,-1,N0,maintenance,2,363,1160.1024107595244,90.92085247425307,1129.6030337871514,0.01438866227299749
B1,past,9,0,-1,N0,retrieval,0,428,312.86445645068585,78.41817851415874,1786.6445996068771,0.0038330480078278546
B1,past,9,0,-1,N0,retrieval,1,428,1026.466091676143,255.72017205018727,5145.631029644894,0.012985122982560326
B1,past,9,0,-1,N0,retrieval,2,428,1240.776131368167,149.85853420478364,1753.2097062186945,0.015389252315202422
B1,past,10,0,-1,N0,encoding,0,205,144.27912835937894,117.53840318104422,104.19762000126944,0.001767630723550171
B1,past,10,0,-1,N0,encoding,1,205,171.6543323824416,169.7900200033769,1317.4297210796024,0.0021714819754402
B1,past,10,0,-1,N0,encoding,2,205,341.8372690851427,230.88321897973842,505.9010076317719,0.004239781739587684
B1,past,10,0,-1,N0,maintenance,0,363,4094.974495383856,3412.5579671713913,1562.8912442227943,0.05016943762070021
B1,past,10,0,-1,N0,maintenance,1,363,11343.411536405683,8922.488777141045,5440.830608898684,0.14349776873924658
B1,past,10,0,-1,N0,maintenance,2,363,34552.8736551129,31898.454596599713,42707.8322277143,0.4285566730780886
B1,past,10,0,-1,N0,retrieval,0,306,2643.4929929922255,1866.1563153738598,5741.990994341958,0.03238666247181344
B1,past,10,0,-1,N0,retrieval,1,306,15522.886862705103,17481.69707820961,33256.28988273645,0.19636946275298053
B1,past,10,0,-1,N0,retrieval,2,306,87439.2302179988,80749.28049733497,62109.22418442667,1.0845021451114438
B1,past,11,0,1,N0,encoding,0,205,787.5492790749879,8808.612609852351,8477.947641086597,0.009648632604261518
B1,past,11,0,1,N0,encoding,1,205,9083.697247238732,14718.28914196507,8792.597933896783,0.11491166327679783
B1,past,11,0,1,N0,encoding,2,205,12327.947666577611,9445.787648911559,4924.907280484118,0.15290260053630905
B1,past,11,0,1,N0,maintenance,0,362,11291.81638736241,37725.12332579739,27323.158997107792,0.13834129577822335
B1,past,11,0,1,N0,maintenance,1,362,28071.429465285382,40995.564283093416,29387.1879218269,0.35511252330583964
B1,past,11,0,1,N0,maintenance,2,362,22079.664329450257,8864.683464567363,15575.74863797671,0.2738524031939661
B1,past,11,0,1,N0,retrieval,0,265,15141.7140562662,36282.42239980819,21112.49778970106,0.18550818318225407
B1,past,11,0,1,N0,retrieval,1,265,9322.606185042228,15128.144271847565,4477.286206165816,0.11793393743097427
B1,past,11,0,1,N0,retrieval,2,265,9929.258486336994,880.877996532084,2037.9154302955894,0.12315184043765622
B1,past,12,0,-1,N0,encoding,0,205,81.29905843071238,202.87543721977997,159.4670420833874,0.000996032587054966
B1,past,12,0,-1,N0,encoding,1,205,536.4997663880343,180.86011984316184,695.6994356111825,0.006786892916538245
B1,past,12,0,-1,N0,encoding,2,205,726.8762242809877,95.59730499889957,1013.2130146544205,0.00901539071762061
B1,past,12,0,-1,N0,maintenance,0,363,800.5855333444389,1870.548901338502,838.7154106823048,0.009808345820086444
B1,past,12,0,-1,N0,maintenance,1,363,3377.8627473699767,1765.184690213421,540.4920086304743,0.04273103958181896
B1,past,12,0,-1,N0,maintenance,2,363,3382.7804620491256,635.187394504253,1940.7762735288272,0.041956369679684045
B1,past,12,0,-1,N0,retrieval,0,258,699.4248132771909,855.5825885404171,438.77935181486146,0.008568978776213518
B1,past,12,0,-1,N0,retrieval,1,258,4004.404682645975,1909.6678458075414,344.3878999850664,0.050656994612642385
B1,past,12,0,-1,N0,retrieval,2,258,3180.593108278162,196.66373634271537,2594.5576135413194,0.03944865525525078
B1,past,13,0,1,N0,encoding,0,205,1326.2274134991928,680.4964075427549,622.3953812001444,0.01624822903473868
B1,past,13,0,1,N0,encoding,1,205,1941.3121000845244,16476.594595734015,10719.747383317334,0.024558216361503904
B1,past,13,0,1,N0,encoding,2,205,4239.680550863294,3893.613667128689,1646.8243783371493,0.05258443653420971
B1,past,13,0,1,N0,maintenance,0,363,674.3064368744338,6848.723495108648,3040.739566805253,0.008261241861248126
B1,past,13,0,1,N0,maintenance,1,363,14238.95478258135,93065.19379869079,75276.3716646438,0.18012731301529436
B1,past,13,0,1,N0,maintenance,2,363,5872.881265058838,4292.7936152468565,9314.715648390691,0.07284090120718
B1,past,13,0,1,N0,retrieval,0,245,956.7107805636142,8890.20181567311,2433.0888961019205,0.011721108856879077
B1,past,13,0,1,N0,retrieval,1,245,17801.444406951217,123931.4668087601,85059.76500001759,0.22519394139363633
B1,past,13,0,1,N0,retrieval,2,245,3847.7502781110966,1484.0848943838187,5970.858567063981,0.04772335506683903
B1,past,15,0,-1,N0,encoding,0,205,645.5947014825754,312.74430897354836,357.57504383315853,0.007909481033592748
B1,past,15,0,-1,N0,encoding,1,205,217.8652994766248,218.2879450773853,620.0832922102711,0.002756065427077821
B1,past,15,0,-1,N0,encoding,2,205,2176.7374588816074,698.0902658507092,2806.6725135046754,0.02699790972102595
B1,past,15,0,-1,N0,maintenance,0,362,6548.8199188751605,552.6197778755476,2121.3562482036964,0.08023263949008026
B1,past,15,0,-1,N0,maintenance,1,362,1508.7536980809055,1298.1004960237171,354.3468537233949,0.019086214809085445
B1,past,15,0,-1,N0,maintenance,2,362,2097.0194709796087,740.6699318724596,1630.114566819234,0.02600917355914367
B1,past,15,0,-1,N0,retrieval,0,239,15881.606698287804,372.5736595762191,3802.2457782304855,0.1945729521549942
B1,past,15,0,-1,N0,retrieval,1,239,8552.60272742217,6946.535962233811,812.8489662977823,0.10819314845092506
B1,past,15,0,-1,N0,retrieval,2,239,34928.55877783534,12669.099046076357,23003.439340454042,0.4332162671809088
B1,past,16,0,1,N0,encoding,0,205,792.6841923573949,109.88985189408393,123.1051330375447,0.009711542815765846
B1,past,16,0,1,N0,encoding,1,205,482.80588644638027,99.29441206086386,838.4185749030182,0.006107648234120441
B1,past,16,0,1,N0,encoding,2,205,3232.3686201214778,556.3416032078823,269.8080872441158,0.04009082300442156
B1,past,16,0,1,N0,maintenance,0,362,3295.965282962898,516.762736042622,2158.463791855832,0.04038040404158864
B1,past,16,0,1,N0,maintenance,1,362,613.2830056715705,2938.9480707766306,6785.835092224329,0.0077582253484435055
B1,past,16,0,1,N0,maintenance,2,362,6370.047172046664,1343.7863854812615,854.6074124853741,0.07900721226984976
B1,past,16,0,1,N0,retrieval,0,255,3474.329375723373,2589.609916975094,9152.105451794874,0.042565625521137955
B1,past,16,0,1,N0,retrieval,1,255,436.9048531023259,4087.56497012357,15357.285136893355,0.005526985543133859
