dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,retained,reason,prefix_end_sample,prefix_end_s,prefix_last_included_after_target_s,saturation_fraction,PTP,max_jump
A2,60,2,1,135966,136019,0.20703125,136534,platform_onset_hypothesis,136916,-1.0,136916,-1,136916,explicit_click,2.21875,3.7109375,1.4921875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,136688,2.8203125,0.59765625,,,
A2,61,3,-1,138203,138255,0.203125,138770,platform_onset_hypothesis,139159,1.0,139159,1,139159,explicit_click,2.21484375,3.734375,1.51953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,138924,2.81640625,0.59765625,,,
A2,62,3,1,140443,140495,0.203125,141011,platform_onset_hypothesis,141339,-1.0,141339,-1,141339,explicit_click,2.21875,3.5,1.28125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,141165,2.8203125,0.59765625,,,
A2,63,3,-1,142628,142680,0.203125,143195,platform_onset_hypothesis,143542,1.0,143542,1,143542,explicit_click,2.21484375,3.5703125,1.35546875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,143349,2.81640625,0.59765625,,,
A2,64,3,-1,144828,144880,0.203125,145396,platform_onset_hypothesis,145740,-1.0,145740,-1,145740,explicit_click,2.21875,3.5625,1.34375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,145550,2.8203125,0.59765625,0.0,928.3760865943516,12.66152746433545
A2,65,3,1,147025,147077,0.203125,147592,platform_onset_hypothesis,147915,1.0,147915,1,147915,explicit_click,2.21484375,3.4765625,1.26171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,147746,2.81640625,0.59765625,0.0,404.62395922573853,11.510200355969204
A2,66,3,-1,149201,149253,0.203125,149769,platform_onset_hypothesis,150099,-1.0,150099,-1,150099,explicit_click,2.21875,3.5078125,1.2890625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,149923,2.8203125,0.59765625,0.0,494.539355755548,8.889353161761505
A2,67,3,1,151386,151438,0.203125,151953,platform_onset_hypothesis,152275,1.0,152275,1,152275,explicit_click,2.21484375,3.47265625,1.2578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,152107,2.81640625,0.59765625,0.0,1123.597774309538,11.344879210969054
A2,68,3,1,153562,153614,0.203125,154129,platform_onset_hypothesis,154519,-1.0,154519,-1,154519,explicit_click,2.21484375,3.73828125,1.5234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,quality,154283,2.81640625,0.59765625,0.10171058714748035,3138.968422059076,548.182351588044
A2,69,3,-1,155802,155855,0.20703125,156370,platform_onset_hypothesis,156765,-1.0,156765,-1,156765,explicit_click,2.21875,3.76171875,1.54296875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,156524,2.8203125,0.59765625,0.0,281.40746002325494,10.004526642485246
