dataset,fold,cue,channel,version,MAE,positive_mean_error
B1,3,-1,F4,before,14.591983809717277,14.341342945509542
B1,3,1,Fz,before,64.47991067931187,63.73817662074566
B1,3,1,F3,before,73.12935235256208,9.04580648764941
B1,3,1,F4,before,58.727259207472834,1.3970672645123137
B1,3,-1,Fz,old,3.586598028345112,2.0469034134305626
B1,3,-1,F3,old,47.945034514762376,46.23311304773577
B1,3,-1,F4,old,15.196029777884503,14.94538891367677
B1,3,1,Fz,old,63.23721376957044,62.495479711004236
B1,3,1,F3,old,65.30714770051685,9.04580648764941
B1,3,1,F4,old,50.032279972010414,1.3970672645123137
B1,3,-1,Fz,new,3.7506361049507264,2.2843724085506194
B1,3,-1,F3,new,48.846305560556104,47.134384093529476
B1,3,-1,F4,new,14.251520972199176,14.000880107991438
B1,3,1,Fz,new,63.704795528401505,62.96306146983528
B1,3,1,F3,new,64.66303169873608,9.04580648764941
B1,3,1,F4,new,48.999058027718604,1.3970672645123137
B1,4,-1,Fz,before,7.20805238539785,6.533554459852603
B1,4,-1,F3,before,35.90708250528726,34.081812560893376
B1,4,-1,F4,before,62.4018693844277,62.4018693844277
B1,4,1,Fz,before,41.99683082590821,5.047262250024635
B1,4,1,F3,before,48.161913715824156,48.16191371582417
B1,4,1,F4,before,32.74821810163754,28.488392244741153
B1,4,-1,Fz,old,6.8269684273729165,6.140118221089077
B1,4,-1,F3,old,32.792264859748094,30.966994915354213
B1,4,-1,F4,old,59.59130541730074,59.59130541730073
B1,4,1,Fz,old,42.3763901696789,5.047262250024635
B1,4,1,F3,old,39.84536146537033,39.84536146537033
B1,4,1,F4,old,25.69059387150507,21.43076801460868
B1,4,-1,Fz,new,7.112671048634889,6.467387509374934
B1,4,-1,F3,new,32.19330311415668,30.368033169762782
B1,4,-1,F4,new,58.76075629548612,58.76075629548612
B1,4,1,Fz,new,42.66552124790232,5.047262250024635
B1,4,1,F3,new,40.11059658191828,40.11059658191827
B1,4,1,F4,new,26.767329294724668,22.507503437828277
B1,5,-1,Fz,before,5.262210265447185,0.049939869886034494
B1,5,-1,F3,before,8.031367772627476,5.728764456235174
B1,5,-1,F4,before,9.756026827178044,7.796217975200387
B1,5,1,Fz,before,118.93320396424019,116.90362172632014
B1,5,1,F3,before,43.9734441609836,3.0552360907472234
B1,5,1,F4,before,53.349251938834456,6.162984872336701
B1,5,-1,Fz,old,5.272404340575933,0.09462195057850842
B1,5,-1,F3,old,10.081952121505147,8.458678003280841
B1,5,-1,F4,old,7.633154357558129,4.856789772270986
B1,5,1,Fz,old,117.44340464232722,115.41382240440717
B1,5,1,F3,old,37.718637525454824,3.0552360907472234
B1,5,1,F4,old,46.58561907781855,6.162984872336701
B1,5,-1,Fz,new,5.194453729437407,0.10543334318816822
B1,5,-1,F3,new,9.985999360469751,8.38615547269862
B1,5,-1,F4,new,7.46216241453447,4.318340884295569
B1,5,1,Fz,new,117.68707196189224,115.65748972397215
B1,5,1,F3,new,37.67583322938794,3.0552360907472234
B1,5,1,F4,new,46.478325528868886,6.162984872336701
B2,1,-1,Fz,before,43.49243142059378,43.49243142059379
B2,1,-1,F3,before,69.00537322786883,58.23026825226921
B2,1,-1,F4,before,67.3652545301171,67.36525453011711
B2,1,1,Fz,before,75.45118692740697,75.45118692740697
B2,1,1,F3,before,119.71251313818038,92.23479232526348
B2,1,1,F4,before,115.79623992042283,115.66547678824809
B2,1,-1,Fz,old,43.696358897679325,43.69635889767933
B2,1,-1,F3,old,67.9052781404188,57.1301731648192
B2,1,-1,F4,old,66.32213329567348,66.3221332956735
B2,1,1,Fz,old,67.60731632905511,67.60731632905511
B2,1,1,F3,old,106.66075039200362,79.1830295790867
B2,1,1,F4,old,103.69344760731862,103.56268447514387
B2,1,-1,Fz,new,40.522514698596744,40.52251469859675
B2,1,-1,F3,new,65.97158400449781,55.1964790288982
B2,1,-1,F4,new,63.9016605227857,63.9016605227857
B2,1,1,Fz,new,66.97216170366559,66.97216170366559
B2,1,1,F3,new,105.66039842213155,78.18267760921465
B2,1,1,F4,new,102.58244398351717,102.45168085134243
B2,2,-1,Fz,before,73.81486528457671,73.81486528457673
B2,2,-1,F3,before,100.64160228067168,90.60424572765032
B2,2,-1,F4,before,81.03524903088639,81.03524903088638
B2,2,1,Fz,before,20.717844964694482,20.71784496469448
B2,2,1,F3,before,39.75048524240822,23.460265666678378
B2,2,1,F4,before,41.13509748854992,41.135097488549924
B2,2,-1,Fz,old,67.66825936993591,67.6682593699359
B2,2,-1,F3,old,92.53349555715766,82.49613900413631
B2,2,-1,F4,old,73.14176415741481,73.1417641574148
B2,2,1,Fz,old,19.027591522329768,19.027591522329757
B2,2,1,F3,old,38.02199543929386,21.731775863564014
B2,2,1,F4,old,37.596512420579494,37.5965124205795
B2,2,-1,Fz,new,68.43937951874776,68.43937951874776
B2,2,-1,F3,new,94.56742819001502,84.53007163699365
B2,2,-1,F4,new,74.58343952086747,74.58343952086749
B2,2,1,Fz,new,17.27948515109477,17.279485151094768
B2,2,1,F3,new,36.542111010569585,20.25189143483974
B2,2,1,F4,new,36.070603403311566,36.07060340331156
B2,3,-1,Fz,before,29.576465442809425,29.576465442809425
B2,3,-1,F3,before,7.221183978758938,0.11137052721266574
B2,3,-1,F4,before,44.396571952563285,39.41845859715126
B2,3,1,Fz,before,11.915854294370778,11.915854294370781
B2,3,1,F3,before,84.85607333594791,57.09919218241069
B2,3,1,F4,before,36.3260925129502,36.32221299219786
B2,3,-1,Fz,old,29.598214996028712,29.59821499602871
B2,3,-1,F3,old,8.256595984182411,0.11137052721266574
B2,3,-1,F4,old,42.112001932050894,38.53575653762498
B2,3,1,Fz,old,9.542674870156645,9.542674870156638
B2,3,1,F3,old,75.24392984857322,47.48704869503598
B2,3,1,F4,old,30.83139498932818,30.827515468575843
B2,3,-1,Fz,new,28.39749935859935,28.39749935859935
B2,3,-1,F3,new,6.57417802045294,0.11137052721266574
B2,3,-1,F4,new,41.27825369046513,38.2552742296687
B2,3,1,Fz,new,13.03875110483124,13.038751104831235
B2,3,1,F3,new,85.14170088328896,57.38481972975172
B2,3,1,F4,new,37.10219483293357,37.09831531218123
B2,4,-1,Fz,before,47.9667141844802,47.96671418448021
B2,4,-1,F3,before,22.097782545478065,8.024947977711772
B2,4,-1,F4,before,19.262873096623373,19.26287309662338
B2,4,1,Fz,before,10.598756958621212,10.567673819797934
B2,4,1,F3,before,19.154855020371432,0.0
B2,4,1,F4,before,30.881249747707045,18.055745865133048
B2,4,-1,Fz,old,43.21619727434172,43.216197274341724
B2,4,-1,F3,old,16.24054304477715,3.5210937273665603
B2,4,-1,F4,old,15.096764161634871,14.935180558041154
B2,4,1,Fz,old,7.574076034834485,7.076883486665336
B2,4,1,F3,old,14.772985002836059,0.0
