dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,4,0,-1,spatial,-4.875557060592079,-192.17105677378902,-141.6338650934752,16.58672870281007,,,300.78125,,,0.0,1.0,1.0,0.15139738323094487,50.53719168031381,,,,,,,,,,
A1,5,0,1,spatial,-8.464900596252372,-136.80728294716636,-75.11603396351363,6.8490560442924,,,277.34375,,,0.0,1.0,1.0,0.29110175266676264,61.69124898365273,,,,,,,,,,
A1,6,0,-1,spatial,-9.599403140923048,-324.0124284242342,-393.3618791679516,3.6043675883796062,,,347.65625,,,0.0,1.0,1.0,-0.09667122171754901,-69.3494507437174,,,,,,,,,,
A1,7,0,-1,spatial,-1.007597806611069,-12.459103515774125,-42.51704051544475,6.433135309210447,0.6711413094314267,,437.5,433.59375,,0.0,0.0,1.0,-0.5467450933372456,-30.057936999670623,,,,,,,,,,
A1,8,0,-1,spatial,5.9109469372257895,14.92817539290402,58.55633705457173,16.30482701236184,26.742155944690325,73.06781150832143,332.03125,332.03125,441.40625,0.0,0.0,0.0,0.5937055334326623,43.628161661667704,,,,,,,,,,
A1,9,0,1,spatial,7.202807697457891,17.066616021577584,-5.490634770049451,18.241326967248302,25.819436714423546,2.467181046674824,417.96875,421.875,410.15625,0.0,0.0,0.0,-1.0,-22.557250791627034,,,,,,,,,,
A1,10,0,1,spatial,6.933980019092985,23.983153077195862,45.55113440875836,20.07188654531874,36.667802889295,54.54509301250967,261.71875,472.65625,355.46875,0.0,0.0,0.0,0.3101776420146562,21.567981331562496,,,,,,,,,,
A1,11,0,1,spatial,-0.9780023255041624,-161.33885593836865,-124.82936669703375,11.234474387861638,,,351.5625,,,0.0,1.0,1.0,0.12758051507294874,36.509489241334904,,,,,,,,,,
A1,12,0,1,spatial,7.670869755705198,8.539553617802296,41.457614755159824,25.723575893878767,23.762664707427476,55.5546261221786,367.1875,359.375,367.1875,0.0,0.0,0.0,0.6583985095275761,32.918061137357526,,,,,,,,,,
A1,13,0,-1,spatial,6.189478072769888,25.725687023725634,34.32191943163869,20.05170924549701,36.74835705601529,46.47643714445029,394.53125,394.53125,394.53125,0.0,0.0,0.0,0.14315695354656582,8.596232407913057,,,,,,,,,,
A1,15,0,1,spatial,0.009875875551025592,-45.66556270664816,-66.19895837856156,16.15022400202458,,,312.5,,,0.0,1.0,1.0,-0.18355592526313727,-20.533395671913397,,,,,,,,,,
A1,16,0,-1,spatial,12.045728132578649,-35.15923365207765,-80.0969097551172,20.675406205277362,,,382.8125,,,0.0,1.0,1.0,-0.3898939767945967,-44.93767610303954,,,,,,,,,,
A1,17,0,1,spatial,2.2865512759514472,31.622503023800192,34.43048857358452,20.651209444901305,44.56225519132994,42.581461778709865,308.59375,308.59375,316.40625,0.0,0.0,0.0,0.04251110331080759,2.807985549784327,,,,,,,,,,
A1,24,1,-1,spatial,20.45861462127415,26.47826227325544,31.476094480628117,4.671761986855065,,19.990345311386506,425.78125,,429.6875,0.0,1.0,0.0,0.08623738554457806,4.997832207372678,,,,,,,,,,
