dataset,trial_id,cue,role,PC1,PC2
B1,49,1,train,-0.5645124686588869,-0.8883525635724022
B1,50,-1,train,-9.841466163248652,-0.6666709558030893
B1,51,1,train,2.9051270628064603,0.4736382687134588
B1,52,-1,train,1.4248713098221066,1.7148155638715772
B1,53,1,train,1.1209970900789281,-0.08109455944284452
B1,55,1,train,0.601558645367816,-3.214723023982439
B1,56,-1,train,1.6021429450904614,-0.09614392893268386
B1,57,1,train,0.6209378996175166,-1.4478562359402554
B1,64,-1,train,0.43398896661788716,1.4121520681662387
B1,65,-1,train,1.3686763255156151,2.059541627745769
B1,66,-1,train,-4.298705861667279,2.9138039943403253
B1,67,1,train,0.21816387950114483,-1.5016926687511638
B1,68,1,train,0.07674650309554934,-0.4829556333484162
B1,69,-1,train,0.03895374354733656,-2.643958658248219
B1,70,-1,train,-1.724850361985474,-0.8911547754102919
B1,71,1,train,1.680307565028472,0.4283544964582264
B1,72,1,train,-4.654341485911501,-1.2236171092175288
B1,73,-1,train,0.6728491904036104,1.0434906163542739
B1,74,-1,train,1.6526876825631145,-1.2181519940271093
B1,75,1,train,-0.8817816761114745,2.904934855496009
B1,76,-1,train,-0.06930006548499527,0.5606512994743754
B1,77,-1,train,0.9117538636744545,-0.6888338278547603
B1,84,-1,test,0.027652359852868857,-0.4090597276828451
B1,85,1,test,0.06074000439492117,-0.45190823337089403
B1,86,-1,test,0.6064382588250007,0.6660899043148184
B1,87,-1,test,0.6749156205772918,0.6874529780763435
B1,89,-1,test,-0.40910589219868443,0.3016820875788374
B1,90,-1,test,0.9527126580105103,0.6107706095159887
B1,91,1,test,1.306077566150495,-0.7148662070492924
B1,93,-1,test,1.2335336182416896,-0.5299337983130525
B1,94,1,test,0.7276753589376238,-0.40032135057547075
B1,95,-1,test,1.1077478297791081,-1.0277696448030618
B1,96,1,test,1.1229484360828699,-0.20485133015787932
B1,97,-1,test,1.1264642031963843,0.7832636591932934
B1,98,1,test,1.278169861671982,-0.6493465083738156
B1,99,1,test,0.14472457167987338,-0.5593997410269687
