dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,12,0,N3,retrieval,262,36899.58222132133,0.05,frozen_V2_new_scoring_window
A1,13,0,N3,encoding,205,318.9546542362963,0.05,frozen_V2_new_scoring_window
A1,13,0,N3,maintenance,362,3791.529301058894,0.05,frozen_V2_new_scoring_window
A1,13,0,N3,retrieval,280,11005.542523964801,0.05,frozen_V2_new_scoring_window
A1,16,0,N3,encoding,205,12734.667696050743,0.05,frozen_V2_new_scoring_window
A1,16,0,N3,maintenance,362,71888.73894796535,0.05,frozen_V2_new_scoring_window
A1,16,0,N3,retrieval,246,76781.88209509502,0.05,frozen_V2_new_scoring_window
A1,17,0,N3,encoding,205,22355.80248688062,0.05,frozen_V2_new_scoring_window
A1,17,0,N3,maintenance,363,47361.07866065156,0.05,frozen_V2_new_scoring_window
A1,17,0,N3,retrieval,347,11994.644006213264,0.05,frozen_V2_new_scoring_window
A1,24,1,N3,encoding,205,746.850637665498,0.05,frozen_V2_new_scoring_window
A1,24,1,N3,maintenance,362,2337.406613153878,0.05,frozen_V2_new_scoring_window
A1,24,1,N3,retrieval,270,2696.0802041459197,0.05,frozen_V2_new_scoring_window
A1,25,1,N3,encoding,205,2304.6998175734,0.05,frozen_V2_new_scoring_window
A1,25,1,N3,maintenance,362,94362.25531623198,0.05,frozen_V2_new_scoring_window
A1,25,1,N3,retrieval,317,192831.95915671522,0.05,frozen_V2_new_scoring_window
A1,26,1,N3,encoding,205,4428.322414055201,0.05,frozen_V2_new_scoring_window
A1,26,1,N3,maintenance,362,23348.826502186912,0.05,frozen_V2_new_scoring_window
A1,26,1,N3,retrieval,232,42624.938163134735,0.05,frozen_V2_new_scoring_window
A1,28,1,N3,encoding,205,13549.162848715247,0.05,frozen_V2_new_scoring_window
A1,28,1,N3,maintenance,362,35896.2028271609,0.05,frozen_V2_new_scoring_window
A1,28,1,N3,retrieval,227,9181.123157458525,0.05,frozen_V2_new_scoring_window
A1,29,1,N3,encoding,205,3610.693927077235,0.05,frozen_V2_new_scoring_window
A1,29,1,N3,maintenance,363,12099.76702622859,0.05,frozen_V2_new_scoring_window
A1,29,1,N3,retrieval,332,85218.0705008975,0.05,frozen_V2_new_scoring_window
A1,30,1,N3,encoding,205,257.66838253214814,0.05,frozen_V2_new_scoring_window
A1,30,1,N3,maintenance,362,1392.6338518070143,0.05,frozen_V2_new_scoring_window
A1,30,1,N3,retrieval,253,3228.098683979239,0.05,frozen_V2_new_scoring_window
A1,31,1,N3,encoding,205,25357.185526465528,0.05,frozen_V2_new_scoring_window
A1,31,1,N3,maintenance,363,131880.0034541485,0.05,frozen_V2_new_scoring_window
A1,31,1,N3,retrieval,239,137560.33677562108,0.05,frozen_V2_new_scoring_window
A1,32,1,N3,encoding,205,780.1562165636133,0.05,frozen_V2_new_scoring_window
A1,32,1,N3,maintenance,362,5489.354957992219,0.05,frozen_V2_new_scoring_window
A1,32,1,N3,retrieval,326,11113.52430181019,0.05,frozen_V2_new_scoring_window
A1,33,1,N3,encoding,205,394.46452548688035,0.05,frozen_V2_new_scoring_window
A1,33,1,N3,maintenance,363,1620.0553825793527,0.05,frozen_V2_new_scoring_window
A1,33,1,N3,retrieval,289,2489.7194656406464,0.05,frozen_V2_new_scoring_window
A1,34,1,N3,encoding,205,654.741542935603,0.05,frozen_V2_new_scoring_window
A1,34,1,N3,maintenance,362,4364.469027340226,0.05,frozen_V2_new_scoring_window
