dataset,trial_id,block,model,stage,n_samples,MSE,identity
A1,96,4,N3,encoding,205,1025.0733479211451,new_nested_refit
A1,96,4,N3,maintenance,362,2112.2398876574703,new_nested_refit
A1,96,4,N3,retrieval,221,1977.5401747297558,new_nested_refit
A1,97,4,N3,encoding,205,69116.26058532807,new_nested_refit
A1,97,4,N3,maintenance,363,171151.3626530601,new_nested_refit
A1,97,4,N3,retrieval,207,14295.630676237033,new_nested_refit
A1,98,4,N3,encoding,205,64420.461289942665,new_nested_refit
A1,98,4,N3,maintenance,362,625908.886016235,new_nested_refit
A1,98,4,N3,retrieval,275,1062442.7848921318,new_nested_refit
A1,99,4,N3,encoding,205,2019.1066854968133,new_nested_refit
A1,99,4,N3,maintenance,363,11843.218130626687,new_nested_refit
A1,99,4,N3,retrieval,318,25859.89524014427,new_nested_refit
A2,2,0,N2,encoding,205,14017.281703321469,new_nested_refit
A2,2,0,N2,maintenance,362,229734.84316735555,new_nested_refit
A2,2,0,N2,retrieval,480,148560.14758986948,new_nested_refit
A2,3,0,N2,encoding,205,3775.285537885718,new_nested_refit
A2,3,0,N2,maintenance,362,21231.267226527732,new_nested_refit
A2,3,0,N2,retrieval,360,32741.12731722307,new_nested_refit
A2,4,0,N2,encoding,205,2814.2557104934676,new_nested_refit
A2,4,0,N2,maintenance,362,8565.319564925934,new_nested_refit
A2,4,0,N2,retrieval,363,11784.983929475959,new_nested_refit
A2,5,0,N2,encoding,205,23313.898349951724,new_nested_refit
A2,5,0,N2,maintenance,362,216220.42244788396,new_nested_refit
A2,5,0,N2,retrieval,346,109497.02572335584,new_nested_refit
A2,6,0,N2,encoding,205,3451.9778304942165,new_nested_refit
A2,6,0,N2,maintenance,362,14786.740860026437,new_nested_refit
A2,6,0,N2,retrieval,318,8472.882573221223,new_nested_refit
A2,7,0,N2,encoding,205,6345.490746296342,new_nested_refit
A2,7,0,N2,maintenance,363,16868.612906189202,new_nested_refit
A2,7,0,N2,retrieval,312,62441.5781472616,new_nested_refit
A2,8,0,N2,encoding,205,1544.9549024796204,new_nested_refit
A2,8,0,N2,maintenance,362,5750.68022592223,new_nested_refit
A2,8,0,N2,retrieval,316,5317.0844656571035,new_nested_refit
A2,9,0,N2,encoding,205,14401.252303504078,new_nested_refit
A2,9,0,N2,maintenance,363,73674.22956899209,new_nested_refit
A2,9,0,N2,retrieval,401,27131.336649705732,new_nested_refit
A2,10,0,N2,encoding,205,42418.09733048408,new_nested_refit
A2,10,0,N2,maintenance,362,52856.81037070092,new_nested_refit
A2,10,0,N2,retrieval,319,34036.13993266741,new_nested_refit
A2,11,0,N2,encoding,205,1394.079850278788,new_nested_refit
A2,11,0,N2,maintenance,362,27984.74954566295,new_nested_refit
A2,11,0,N2,retrieval,353,97603.42131435717,new_nested_refit
A2,12,0,N2,encoding,205,146496.11626450391,new_nested_refit
A2,12,0,N2,maintenance,363,437789.2942137563,new_nested_refit
