dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,50,2,stimulus,1.5,N0,encoding,1,205,4990.589443078641
A1,50,2,stimulus,1.5,N0,encoding,2,205,7445.481198236445
A1,50,2,stimulus,1.5,N0,maintenance,0,362,309.0955449877211
A1,50,2,stimulus,1.5,N0,maintenance,1,362,15339.486397681609
A1,50,2,stimulus,1.5,N0,maintenance,2,362,95544.43653754781
A1,50,2,stimulus,1.5,N0,retrieval,0,235,158.30679047687508
A1,50,2,stimulus,1.5,N0,retrieval,1,235,4665.443724476502
A1,50,2,stimulus,1.5,N0,retrieval,2,235,20129.893893829812
A1,51,2,stimulus,1.5,N0,encoding,0,205,258.06311524383
A1,51,2,stimulus,1.5,N0,encoding,1,205,48504.698483435
A1,51,2,stimulus,1.5,N0,encoding,2,205,52700.4455268005
A1,51,2,stimulus,1.5,N0,maintenance,0,362,2965.5898530282993
A1,51,2,stimulus,1.5,N0,maintenance,1,362,421710.66491836985
A1,51,2,stimulus,1.5,N0,maintenance,2,362,605466.5000444134
A1,51,2,stimulus,1.5,N0,retrieval,0,273,921.9350862069266
A1,51,2,stimulus,1.5,N0,retrieval,1,273,192173.17779015872
A1,51,2,stimulus,1.5,N0,retrieval,2,273,200164.50307404483
A1,52,2,stimulus,1.5,N0,encoding,0,205,1627.007134242917
A1,52,2,stimulus,1.5,N0,encoding,1,205,44056.15571578069
A1,52,2,stimulus,1.5,N0,encoding,2,205,39664.20586788083
A1,52,2,stimulus,1.5,N0,maintenance,0,363,17073.200776336107
A1,52,2,stimulus,1.5,N0,maintenance,1,363,1027908.5810646915
A1,52,2,stimulus,1.5,N0,maintenance,2,363,680744.1495649442
A1,52,2,stimulus,1.5,N0,retrieval,0,289,55657.52331780169
A1,52,2,stimulus,1.5,N0,retrieval,1,289,1344756.3454208835
A1,52,2,stimulus,1.5,N0,retrieval,2,289,873032.964736807
A1,53,2,stimulus,1.5,N0,encoding,0,205,2021.9884934259703
A1,53,2,stimulus,1.5,N0,encoding,1,205,77881.59424668128
A1,53,2,stimulus,1.5,N0,encoding,2,205,68384.57727620775
A1,53,2,stimulus,1.5,N0,maintenance,0,362,8696.988594339458
A1,53,2,stimulus,1.5,N0,maintenance,1,362,534834.4488939439
A1,53,2,stimulus,1.5,N0,maintenance,2,362,268292.1469927756
A1,53,2,stimulus,1.5,N0,retrieval,0,239,23760.43982562397
A1,53,2,stimulus,1.5,N0,retrieval,1,239,515153.5348767671
A1,53,2,stimulus,1.5,N0,retrieval,2,239,200425.4118300105
A1,54,2,stimulus,1.5,N0,encoding,0,205,1325.3848770206941
A1,54,2,stimulus,1.5,N0,encoding,1,205,12059.49654843874
A1,54,2,stimulus,1.5,N0,encoding,2,205,92262.40060862809
A1,54,2,stimulus,1.5,N0,maintenance,0,363,1341.5630639056894
A1,54,2,stimulus,1.5,N0,maintenance,1,363,51903.0405041753
A1,54,2,stimulus,1.5,N0,maintenance,2,363,393014.7481093822
A1,54,2,stimulus,1.5,N0,retrieval,0,273,4352.554994226369
A1,54,2,stimulus,1.5,N0,retrieval,1,273,107789.25489671125
A1,54,2,stimulus,1.5,N0,retrieval,2,273,433339.03006479004
A1,55,2,stimulus,1.5,N0,encoding,0,205,188.0609878254424
A1,55,2,stimulus,1.5,N0,encoding,1,205,1732.3870539128168
A1,55,2,stimulus,1.5,N0,encoding,2,205,1600.6805910884025
A1,55,2,stimulus,1.5,N0,maintenance,0,362,561.4650139559423
A1,55,2,stimulus,1.5,N0,maintenance,1,362,3395.0991073579185
A1,55,2,stimulus,1.5,N0,maintenance,2,362,2282.3703061873516
A1,55,2,stimulus,1.5,N0,retrieval,0,250,89.20531276716596
A1,55,2,stimulus,1.5,N0,retrieval,1,250,2320.4750297099463
A1,55,2,stimulus,1.5,N0,retrieval,2,250,7778.64730492984
A1,56,2,stimulus,1.5,N0,encoding,0,205,216.73018496698194
A1,56,2,stimulus,1.5,N0,encoding,1,205,7327.810976966736
A1,56,2,stimulus,1.5,N0,encoding,2,205,1950.4964065766346
A1,56,2,stimulus,1.5,N0,maintenance,0,363,498.2292809134374
A1,56,2,stimulus,1.5,N0,maintenance,1,363,6599.906830763607
A1,56,2,stimulus,1.5,N0,maintenance,2,363,2328.351551155573
A1,56,2,stimulus,1.5,N0,retrieval,0,282,556.9060729088085
A1,56,2,stimulus,1.5,N0,retrieval,1,282,5501.05376185477
A1,56,2,stimulus,1.5,N0,retrieval,2,282,3953.2773217082845
A1,57,2,stimulus,1.5,N0,encoding,0,205,1908.1883551427823
A1,57,2,stimulus,1.5,N0,encoding,1,205,468.30444484056846
A1,57,2,stimulus,1.5,N0,encoding,2,205,567.47718320686
A1,57,2,stimulus,1.5,N0,maintenance,0,362,206.1228179361092
A1,57,2,stimulus,1.5,N0,maintenance,1,362,9496.083438007976
A1,57,2,stimulus,1.5,N0,maintenance,2,362,7638.145533172526
A1,57,2,stimulus,1.5,N0,retrieval,0,285,241.96308467239427
A1,57,2,stimulus,1.5,N0,retrieval,1,285,2602.5327988272434
A1,57,2,stimulus,1.5,N0,retrieval,2,285,3451.44405324468
A1,64,3,stimulus,1.5,N0,encoding,0,205,1393.9269756200615
A1,64,3,stimulus,1.5,N0,encoding,1,205,2002.9724173166103
A1,64,3,stimulus,1.5,N0,encoding,2,205,31583.879702384802
A1,64,3,stimulus,1.5,N0,maintenance,0,362,371.72256096888407
A1,64,3,stimulus,1.5,N0,maintenance,1,362,129853.11990710441
A1,64,3,stimulus,1.5,N0,maintenance,2,362,33206.89749215107
A1,64,3,stimulus,1.5,N0,retrieval,0,222,185.79902112515592
A1,64,3,stimulus,1.5,N0,retrieval,1,222,452593.1421916992
