dataset,branch,fold,model,target,contrast_RMSE,S_delta,delta_energy,weighted_MSE
A2,denoised,3,mechanism,common_baseline,26.89312926195696,0.5265921069787786,824975.2962878224,896.0391985252271
A2,denoised,3,training_template,common_baseline,25.039869547370635,0.5895909396606729,824975.2962878224,733.7204438418302
A2,denoised,3,mechanism,branch_output,26.8177995237123,0.3931934671407469,640014.4683163007,941.469888542137
A2,denoised,3,training_template,branch_output,25.869444998831103,0.4353514841525785,640014.4683163007,852.9201421323755
A2,baseline,4,mechanism,common_baseline,143.6836873365794,0.1317118672135208,12839402.800320053,7432.892627509375
A2,baseline,4,training_template,common_baseline,141.79681086534663,0.1543671167957974,12839402.800320053,6910.429069185527
A2,baseline,4,mechanism,branch_output,143.6836873365794,0.1317118672135208,12839402.800320053,7432.892627509375
A2,baseline,4,training_template,branch_output,141.79681086534663,0.1543671167957974,12839402.800320053,6910.429069185527
A2,denoised,4,mechanism,common_baseline,145.4826340237738,0.10983349840363565,12839402.800320053,8308.758381906764
A2,denoised,4,training_template,common_baseline,143.91230182085897,0.12894661019394626,12839402.800320053,7810.243462049312
A2,denoised,4,mechanism,branch_output,126.35576100449296,0.12531252161429274,9856686.54933169,5787.213175357872
A2,denoised,4,training_template,branch_output,124.80783223172554,0.14661207389039843,9856686.54933169,5386.046924931762
B1,baseline,0,mechanism,common_baseline,53.33508545679117,0.020676817533417324,1568533.1987138507,3049.3400104281304
B1,baseline,0,training_template,common_baseline,57.32746685113204,-0.1314244208931683,1568533.1987138507,4452.1640924015455
B1,baseline,0,mechanism,branch_output,53.33508545679117,0.020676817533417324,1568533.1987138507,3049.3400104281304
B1,baseline,0,training_template,branch_output,57.32746685113204,-0.1314244208931683,1568533.1987138507,4452.1640924015455
B1,denoised,0,mechanism,common_baseline,53.302151017978176,0.02188590910577426,1568533.1987138507,2952.5153755767387
B1,denoised,0,training_template,common_baseline,56.75139251800442,-0.10879967341570485,1568533.1987138507,4259.576875605419
B1,denoised,0,mechanism,branch_output,47.16578718148048,0.0239800434900036,1230804.9558103466,2469.669732981009
B1,denoised,0,training_template,branch_output,51.24243765879182,-0.15203078977094742,1230804.9558103466,3677.2265325001713
B1,baseline,1,mechanism,common_baseline,109.21575751606825,-0.15890754667654572,5557962.00565635,4575.307468176546
B1,baseline,1,training_template,common_baseline,138.61722962915198,-0.8668637206359691,5557962.00565635,6482.072569467485
B1,baseline,1,mechanism,branch_output,109.21575751606825,-0.15890754667654572,5557962.00565635,4575.307468176546
B1,baseline,1,training_template,branch_output,138.61722962915198,-0.8668637206359691,5557962.00565635,6482.072569467485
B1,denoised,1,mechanism,common_baseline,108.8058659419159,-0.15022500760419333,5557962.00565635,4563.753167749266
B1,denoised,1,training_template,common_baseline,136.39903857037925,-0.8075936395668899,5557962.00565635,6334.688975427897
B1,denoised,1,mechanism,branch_output,104.9755161143716,-0.154103967188002,5156141.925044721,4153.861825155897
B1,denoised,1,training_template,branch_output,132.5002456332788,-0.8386635371896889,5156141.925044721,5884.896027597136
B1,baseline,2,mechanism,common_baseline,184.02892688846418,-0.01895772457665479,17947740.482292067,13382.524549169473
B1,baseline,2,training_template,common_baseline,190.92103337194655,-0.09670931283405282,17947740.482292067,12868.01975285478
B1,baseline,2,mechanism,branch_output,184.02892688846418,-0.01895772457665479,17947740.482292067,13382.524549169473
B1,baseline,2,training_template,branch_output,190.92103337194655,-0.09670931283405282,17947740.482292067,12868.01975285478
B1,denoised,2,mechanism,common_baseline,183.88294219656834,-0.017341747875333935,17947740.482292067,13417.763272219157
B1,denoised,2,training_template,common_baseline,190.34573328147997,-0.09010986846362745,17947740.482292067,12884.493098218069
B1,denoised,2,mechanism,branch_output,169.84132044846436,-0.019769070637737807,15274909.270747652,11251.683921428632
B1,denoised,2,training_template,branch_output,176.51594562062468,-0.10149621141951681,15274909.270747652,10803.899721238025
