dataset,branch,fold,model,target,cue,channel,RMSE,R2,positive_peak_latency_ms,positive_peak_amplitude
A1,baseline,3,mechanism,branch_output,-1,F3,11.699191781875387,-1.8524429917476257,,
A1,baseline,3,mechanism,branch_output,-1,F4,27.21392723559657,-6.341412705458461,,
A1,baseline,3,mechanism,branch_output,1,Fz,11.173132891953308,-2.6356789988799116,,
A1,baseline,3,mechanism,branch_output,1,F3,72.69710316746671,-7.934432002545126,398.4375,19.02731436417602
A1,baseline,3,mechanism,branch_output,1,F4,91.27437561748145,-4.8783486814583705,402.34375,17.18537842305848
A1,baseline,3,training_template,branch_output,-1,Fz,7.218216207515139,0.01111148572195797,328.125,12.143195763629324
A1,baseline,3,training_template,branch_output,-1,F3,33.8726933663076,-22.91138401245871,,
A1,baseline,3,training_template,branch_output,-1,F4,9.949659478479562,0.018673254073771517,,
A1,baseline,3,training_template,branch_output,1,Fz,15.661447681178371,-6.143308574885066,355.46875,3.534621032418237
A1,baseline,3,training_template,branch_output,1,F3,108.77634622145706,-19.00330102931629,476.5625,53.38189080407902
A1,baseline,3,training_template,branch_output,1,F4,116.33576684213402,-8.549576574412798,359.375,43.23439800550299
A1,denoised,3,mechanism,common_baseline,-1,Fz,7.928056918206932,-0.19294680631003414,375.0,2.686877028883911
A1,denoised,3,mechanism,common_baseline,-1,F3,11.699191781875387,-1.8524429917476257,,
A1,denoised,3,mechanism,common_baseline,-1,F4,27.21392723559657,-6.341412705458461,,
A1,denoised,3,mechanism,common_baseline,1,Fz,11.173132891953308,-2.6356789988799116,,
A1,denoised,3,mechanism,common_baseline,1,F3,72.69710316746671,-7.934432002545126,398.4375,19.02731436417602
A1,denoised,3,mechanism,common_baseline,1,F4,91.27437561748145,-4.8783486814583705,402.34375,17.18537842305848
A1,denoised,3,training_template,common_baseline,-1,Fz,7.218216207515139,0.01111148572195797,328.125,12.143195763629324
A1,denoised,3,training_template,common_baseline,-1,F3,33.8726933663076,-22.91138401245871,,
A1,denoised,3,training_template,common_baseline,-1,F4,9.949659478479562,0.018673254073771517,,
A1,denoised,3,training_template,common_baseline,1,Fz,15.661447681178371,-6.143308574885066,355.46875,3.534621032418237
A1,denoised,3,training_template,common_baseline,1,F3,108.77634622145706,-19.00330102931629,476.5625,53.38189080407902
A1,denoised,3,training_template,common_baseline,1,F4,116.33576684213402,-8.549576574412798,359.375,43.23439800550299
A1,denoised,3,mechanism,branch_output,-1,Fz,7.928056918206932,-0.19294680631003414,375.0,2.686877028883911
A1,denoised,3,mechanism,branch_output,-1,F3,11.699191781875387,-1.8524429917476257,,
A1,denoised,3,mechanism,branch_output,-1,F4,27.21392723559657,-6.341412705458461,,
A1,denoised,3,mechanism,branch_output,1,Fz,11.173132891953308,-2.6356789988799116,,
A1,denoised,3,mechanism,branch_output,1,F3,72.69710316746671,-7.934432002545126,398.4375,19.02731436417602
A1,denoised,3,mechanism,branch_output,1,F4,91.27437561748145,-4.8783486814583705,402.34375,17.18537842305848
A1,denoised,3,training_template,branch_output,-1,Fz,7.218216207515139,0.01111148572195797,328.125,12.143195763629324
A1,denoised,3,training_template,branch_output,-1,F3,33.8726933663076,-22.91138401245871,,
A1,denoised,3,training_template,branch_output,-1,F4,9.949659478479562,0.018673254073771517,,
A1,denoised,3,training_template,branch_output,1,Fz,15.661447681178371,-6.143308574885066,355.46875,3.534621032418237
A1,denoised,3,training_template,branch_output,1,F3,108.77634622145706,-19.00330102931629,476.5625,53.38189080407902
