dataset,branch,fold,feature,spatial_mode,window,train_effect,test_effect,same_sign
A1,baseline,4,4,midline,50_250,-0.35451889194411845,-1.1249850997408555,True
A1,baseline,4,5,midline,250_500,-0.3070391889991045,-1.2503249593164274,True
A1,baseline,4,6,midline,500_750,-0.2525288824553946,-1.2983255693014852,True
A1,baseline,4,7,lateral,50_250,0.2011799090581156,1.0662159617994855,True
A1,baseline,4,8,lateral,250_500,0.23615398758165682,1.402490114719096,True
A1,baseline,4,9,lateral,500_750,0.2607579144114088,1.3862773618057707,True
A1,denoised,4,1,common,50_250,0.30326221856536084,0.9135573148186517,True
A1,denoised,4,2,common,250_500,0.29990403922112985,1.005210879221561,True
A1,denoised,4,3,common,500_750,0.23436583728079205,1.2438869822953298,True
A1,denoised,4,4,midline,50_250,-0.3473294688264864,-1.148956013435726,True
A1,denoised,4,5,midline,250_500,-0.3012237221050439,-1.2894345581982412,True
A1,denoised,4,6,midline,500_750,-0.2525753288643525,-1.3320013708769265,True
A1,denoised,4,7,lateral,50_250,0.19777234173547065,1.0207542268311185,True
A1,denoised,4,8,lateral,250_500,0.23042445655755847,1.375154368484233,True
A1,denoised,4,9,lateral,500_750,0.2524046719624121,1.3741751163717177,True
A2,baseline,0,1,common,50_250,0.046996122512755215,0.6597466185807028,True
A2,baseline,0,2,common,250_500,0.13925440843640713,0.5902764935576086,True
A2,baseline,0,3,common,500_750,0.2354244662112023,0.22737401268497123,True
A2,baseline,0,4,midline,50_250,0.09553507101885997,-1.4005989900671134,False
A2,baseline,0,5,midline,250_500,-0.028718574722191133,-1.352463325121855,True
A2,baseline,0,6,midline,500_750,-0.1125799521695982,-1.2009001044106382,True
A2,baseline,0,7,lateral,50_250,0.35563946752602077,0.5974730197158961,True
A2,baseline,0,8,lateral,250_500,0.3702061080751121,0.8550124659278344,True
A2,baseline,0,9,lateral,500_750,0.3366260515914191,0.94312984779012,True
A2,denoised,0,1,common,50_250,0.05025276913727214,0.6442342490053486,True
A2,denoised,0,2,common,250_500,0.13468587524996875,0.595150883848868,True
A2,denoised,0,3,common,500_750,0.2292077741012304,0.2313411773196329,True
A2,denoised,0,4,midline,50_250,0.10262005393361946,-1.4314594956561877,False
A2,denoised,0,5,midline,250_500,-0.0168262722968052,-1.3428680054799533,True
A2,denoised,0,6,midline,500_750,-0.09710018219980975,-1.2614354981472136,True
A2,denoised,0,7,lateral,50_250,0.3632050851340101,0.5606325258457183,True
A2,denoised,0,8,lateral,250_500,0.3868555157567401,0.828385550484814,True
A2,denoised,0,9,lateral,500_750,0.3358909169384105,0.9269224627001611,True
A2,baseline,1,1,common,50_250,0.16803665581350372,0.13404642753031193,True
A2,baseline,1,2,common,250_500,0.18784347630687184,0.4891185956610952,True
A2,baseline,1,3,common,500_750,0.1884215785642355,0.5002077382425794,True
A2,baseline,1,4,midline,50_250,-0.03770819923498339,-0.25527576280230035,True
A2,baseline,1,5,midline,250_500,-0.12420748685112969,-0.6167532456187955,True
A2,baseline,1,6,midline,500_750,-0.15545566738024377,-0.9937914187599245,True
A2,baseline,1,7,lateral,50_250,0.33931777781939737,0.42857291500319405,True
A2,baseline,1,8,lateral,250_500,0.3164527898835358,0.9346092363149129,True
A2,baseline,1,9,lateral,500_750,0.282786809705481,1.1661310894507373,True
A2,denoised,1,1,common,50_250,0.18014593577990476,0.13391180665105765,True
A2,denoised,1,2,common,250_500,0.19441625856680075,0.48542917594831475,True
A2,denoised,1,3,common,500_750,0.1973946326152167,0.4553844540331466,True
A2,denoised,1,4,midline,50_250,-0.05483472234518034,-0.2551976962598527,True
A2,denoised,1,5,midline,250_500,-0.13679822553294824,-0.6146616331981274,True
A2,denoised,1,6,midline,500_750,-0.1629864289198011,-0.9931862081005516,True
A2,denoised,1,7,lateral,50_250,0.3463917025498004,0.4285588415077944,True
A2,denoised,1,8,lateral,250_500,0.3248182206761146,0.9340135800056627,True
A2,denoised,1,9,lateral,500_750,0.2855724250298511,1.1500454485849445,True
A2,baseline,2,1,common,50_250,0.21884859704039938,-0.2263981213902935,False
A2,baseline,2,2,common,250_500,0.3387093525986631,-0.40516441064514463,False
A2,baseline,2,3,common,500_750,0.4164036795849259,-0.44083539535890515,False
A2,baseline,2,4,midline,50_250,-0.3438514521730655,0.6812161243776431,False
A2,baseline,2,5,midline,250_500,-0.49061087581148294,0.7369858183159145,False
