dataset,fold,trial_id,cue,leave_one_out_ERP_change_RMS,condition_ERP_RMS,PTP
B1,4,99,1,6.120910585151926,27.12602165357428,217.0637506401592
B2,0,2,-1,69.09125252219991,212.14570116839133,949.8926774159127
B2,0,3,-1,56.29225016161836,212.14570116839133,130.7882916866783
B2,0,4,1,17.14597551586132,172.33614440867322,173.01304211689444
B2,0,5,-1,51.3272486362399,212.14570116839133,134.13078372141226
B2,0,6,1,26.27353893820124,172.33614440867322,786.7202535230399
B2,0,7,1,27.283762508527825,172.33614440867322,972.8653217690926
B2,0,8,1,11.115159320290076,172.33614440867322,350.68370305461656
B2,0,9,1,17.338258037995768,172.33614440867322,143.22631729062513
B2,0,10,-1,52.76876851816327,212.14570116839133,961.983785038867
B2,0,11,1,11.374879248184177,172.33614440867322,595.3728645051943
B2,0,12,1,24.60824428813988,172.33614440867322,160.59982992790228
B2,0,13,1,21.73557457581949,172.33614440867322,192.71040707628975
B2,0,15,1,26.90429007928266,172.33614440867322,855.2018675247677
B2,0,17,-1,16.72380908969536,212.14570116839133,434.0433475557335
B2,1,24,-1,6.734261152807945,75.63997573845072,280.0642347278842
B2,1,25,-1,28.46664440562778,75.63997573845072,564.4193800801977
B2,1,26,1,42.158137797030896,166.1919312209504,879.6598267894282
B2,1,27,-1,55.30523627211717,75.63997573845072,638.7695416174334
B2,1,28,-1,11.616137713398418,75.63997573845072,157.36232390432053
B2,1,29,-1,33.125589659606746,75.63997573845072,587.8100635606145
B2,1,30,1,11.159244228981322,166.1919312209504,578.9509617951118
B2,1,31,1,17.475876084019365,166.1919312209504,297.4062531737289
B2,1,32,1,25.12886566969357,166.1919312209504,692.6622825731046
B2,1,33,1,38.81495610001275,166.1919312209504,407.8216242650401
B2,1,34,1,27.150304284581853,166.1919312209504,222.0239558710383
B2,1,35,-1,13.262888359083213,75.63997573845072,347.5555761722153
B2,1,36,1,17.1102642812848,166.1919312209504,627.2406178118788
B2,1,37,-1,12.264439060440928,75.63997573845072,140.62530623337
B2,2,44,1,13.526345758420772,99.5280642004057,178.53540171882997
B2,2,45,-1,63.06379128157156,53.942982585420715,685.0894219398938
B2,2,46,-1,17.31322954021165,53.942982585420715,309.38042276340514
B2,2,47,1,26.998504462705103,99.5280642004057,72.72203412000701
B2,2,48,-1,20.80246477925387,53.942982585420715,267.2181769796924
B2,2,49,1,49.29472475829829,99.5280642004057,663.3389001475416
B2,2,51,-1,47.12895755491517,53.942982585420715,628.0584031026603
B2,2,52,-1,14.692459692796199,53.942982585420715,210.8793834606667
B2,2,53,1,16.39827132555972,99.5280642004057,296.7751192919841
B2,2,55,1,10.955455479448963,99.5280642004057,327.24077042156364
B2,2,56,-1,112.87114753054539,53.942982585420715,1068.4401102659867
B2,3,64,-1,27.247161149029335,95.42719861173771,527.0699915526529
B2,3,65,1,47.078251017258566,73.08590270300664,694.979246651298
B2,3,66,1,33.65072680397301,73.08590270300664,834.3299766953901
B2,3,67,1,10.233258019613226,73.08590270300664,452.4821903606397
B2,3,68,1,52.383729372230285,73.08590270300664,1050.5508888030117
B2,3,69,-1,27.79436116678944,95.42719861173771,179.40493739237635
B2,3,70,-1,15.794138948205719,95.42719861173771,262.20139741990283
